"date","RT_ID","Focal","Neighbour","stand","Treatment","Block","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"2",1,"NEMESIS","NEMESIS","pure","C","1",133.47608,13289.3077945,22637.3828446249,"NEMESIS;NEMESIS"
"2",10,"EL4X_120","Selcuklu-97","mixed","C","2",250.65496,17148.494977,24049.5114074614,"EL4X_120;Selcuklu-97"
"2",100,"LLOYD","ANVERGUR","mixed","C","3",482.88,18110.502694,16953.5691704247,"LLOYD;ANVERGUR"
"2",101,"CHAM-1_DP136","CHAM-1_DP136","pure","C","3",482.88,15602.0417115,14974.8465018367,"CHAM-1_DP136;CHAM-1_DP136"
"2",105,"LLOYD","ANVERGUR","mixed","C","1",233.392,17480.9189535,14743.1145608403,"LLOYD;ANVERGUR"
"2",106,"NOBILIS","NOBILIS","pure","C","1",253.27056,13618.825145,11531.4115545867,"NOBILIS;NOBILIS"
"2",107,"BOLIDO-DP034","EL4X_194","mixed","C","1",482.88,14815.2437,13557.1654055606,"BOLIDO-DP034;EL4X_194"
"2",108,"PLUSSUR","MIKI-1_DP161","mixed","C","1",317.85576,12189.705532,10906.7579374457,"PLUSSUR;MIKI-1_DP161"
"2",109,"MURANO","ANTALIS","mixed","C","1",482.88,14500.815158,13668.1777054163,"MURANO;ANTALIS"
"2",11,"ORJAUNE","KOFA","mixed","C","2",297.776,25060.416438,24507.0975335886,"ORJAUNE;KOFA"
"2",110,"RAMIREZ","RAMIREZ","pure","C","1",444.97392,19293.926921,16519.1542285956,"RAMIREZ;RAMIREZ"
"2",111,"LAHAN","LAHAN","pure","C","1",482.88,15685.863676,14533.1706952859,"LAHAN;LAHAN"
"2",112,"MIKI-1_DP161","EL4X_464","mixed","C","1",482.88,17449.15979,16110.9069024042,"MIKI-1_DP161;EL4X_464"
"2",113,"MURANO","MURANO","pure","C","2",482.88,17437.8324975,15771.1115884925,"MURANO;MURANO"
