"date","RT_ID","Focal","Neighbour","stand","Treatment","Repetition","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"3",1,"NEMESIS","NEMESIS","pure","C","1",272.626,24175.1350985,23001.1477821613,"NEMESIS;NEMESIS"
"3",10,"EL4X_120","Selcuklu-97","mixed","C","2",482.88,38428.2031345,34753.1514961117,"EL4X_120;Selcuklu-97"
"3",100,"LLOYD","ANVERGUR","mixed","C","3",482.88,48341.7640415,44792.7513393357,"LLOYD;ANVERGUR"
"3",101,"CHAM-1_DP136","CHAM-1_DP136","pure","C","3",482.88,42618.2754915,39885.2308060758,"CHAM-1_DP136;CHAM-1_DP136"
"3",105,"LLOYD","ANVERGUR","mixed","C","1",482.88,39872.497045,35030.779995188,"LLOYD;ANVERGUR"
"3",106,"NOBILIS","NOBILIS","pure","C","1",482.88,28765.7234205,24875.5507899161,"NOBILIS;NOBILIS"
"3",107,"BOLIDO-DP034","EL4X_194","mixed","C","1",482.88,40583.7227805,37390.8752896171,"BOLIDO-DP034;EL4X_194"
"3",108,"PLUSSUR","MIKI-1_DP161","mixed","C","1",482.88,35585.65114,32068.2832404991,"PLUSSUR;MIKI-1_DP161"
"3",109,"MURANO","ANTALIS","mixed","C","1",482.88,40799.7534835,37092.8929825388,"MURANO;ANTALIS"
"3",11,"ORJAUNE","KOFA","mixed","C","2",304.4156,28929.0928995,25886.1356281375,"ORJAUNE;KOFA"
"3",110,"RAMIREZ","RAMIREZ","pure","C","1",482.88,47630.5810505,41203.5728950747,"RAMIREZ;RAMIREZ"
"3",111,"LAHAN","LAHAN","pure","C","1",482.88,44247.4393645,41615.3282384442,"LAHAN;LAHAN"
"3",112,"MIKI-1_DP161","EL4X_464","mixed","C","1",482.88,48758.7793835,45857.675729064,"MIKI-1_DP161;EL4X_464"
"3",113,"MURANO","MURANO","pure","C","2",482.88,44759.133774,40042.4575780681,"MURANO;MURANO"
"3",114,"LAHAN","EL4X_464","mixed","C","2",482.88,50974.013096,47110.2022999438,"LAHAN;EL4X_464"
"3",116,"EL4X_316","EL4X_316","pure","C","2",482.88,49164.6811555,43907.9544962405,"EL4X_316;EL4X_316"
"3",117,"ANTALIS","ANTALIS","pure","C","2",482.88,39789.572715,34169.070290146,"ANTALIS;ANTALIS"
"3",118,"SVEVO","SVEVO","pure","C","2",482.88,61024.9120815,55567.4744531492,"SVEVO;SVEVO"
"3",119,"RAMIREZ","RAMIREZ","pure","C","2",482.88,51427.7459635,46172.8582828685,"RAMIREZ;RAMIREZ"
"3",12,"NOBILIS","LLOYD","mixed","C","2",447.91144,31445.41887,27297.8878099642,"NOBILIS;LLOYD"
"3",120,"CHAM-1_DP136","CHAM-1_DP136","pure","C","2",482.88,42916.845824,37971.2858671918,"CHAM-1_DP136;CHAM-1_DP136"
"3",121,"ASTERIX","NEMESIS","mixed","C","3",482.88,NA,49073.8386675737,"ASTERIX;NEMESIS"
"3",122,"Selcuklu-97","ANVERGUR","mixed","C","3",482.88,60519.030924,53525.7974929529,"Selcuklu-97;ANVERGUR"
