"date","RT_ID","Focal","Neighbour","stand","Treatment","Repetition","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"1",47,"RAMIREZ","CASANOVA","mixed","C","3",67.52272,2681.704441,2674.76443530287,"RAMIREZ;CASANOVA"
"1",470,"RAMIREZ","LGBORIS","mixed","S","1",55.97384,3587.7596075,3689.65938421333,"RAMIREZ;LGBORIS"
"1",471,"RAMIREZ","RAMIREZ","pure","S","1",59.99784,2404.6773365,2469.0722134846,"RAMIREZ;RAMIREZ"
"1",472,"BALSAMO","ARDENTE","mixed","S","1",88.528,3316.5030105,3279.29628516146,"BALSAMO;ARDENTE"
"1",473,"NOBILIS","NOBILIS","pure","S","1",214.64016,2388.4344265,2487.08186209103,"NOBILIS;NOBILIS"
"1",474,"ANVERGUR","ANVERGUR","pure","S","1",55.1288,2975.9148345,3070.88169584563,"ANVERGUR;ANVERGUR"
"1",475,"ORJAUNE","KOFA","mixed","S","1",102.73272,2625.3244455,2622.5388295642,"ORJAUNE;KOFA"
"1",476,"LGBORIS","EL4X_35","mixed","S","1",69.09208,2027.371635,1897.93961050897,"LGBORIS;EL4X_35"
"1",477,"LAHAN","LAHAN","pure","S","2",174.40016,3039.475906,2912.8290781426,"LAHAN;LAHAN"
"1",478,"MIKI-1_DP161","EL4X_464","mixed","S","2",55.45072,2609.4234915,2612.91188033956,"MIKI-1_DP161;EL4X_464"
"1",479,"BALSAMO","ARDENTE","mixed","S","2",55.65192,2474.6073385,2676.82722248727,"BALSAMO;ARDENTE"
"1",48,"PLUSSUR","CHAM-1_DP136","mixed","C","3",175.044,2687.1329925,2500.58590113435,"PLUSSUR;CHAM-1_DP136"
"1",480,"LLOYD","LLOYD","pure","S","2",75.20856,1664.043385,1794.02008288519,"LLOYD;LLOYD"
"1",481,"COLOSSEO_DP087","QUALIDOU","mixed","S","2",82.61272,2366.2927755,2473.35674488179,"COLOSSEO_DP087;QUALIDOU"
"1",482,"PLUSSUR","CHAM-1_DP136","mixed","S","2",171.86504,3574.4233235,3404.27122422284,"PLUSSUR;CHAM-1_DP136"
"1",483,"ANTALIS","ANTALIS","pure","S","2",79.51424,3511.375186,3255.07452280219,"ANTALIS;ANTALIS"
"1",484,"GIUSTO","CASANOVA","mixed","S","2",76.73768,2405.233015,2579.7337116225,"GIUSTO;CASANOVA"
"1",485,"AZEGHAR-2_DP128","AZEGHAR-2_DP128","pure","S","3",153.87776,3025.284732,2986.01691361257,"AZEGHAR-2_DP128;AZEGHAR-2_DP128"
"1",486,"FURIO_CAMILLO","PLUSSUR","mixed","S","3",50.01832,2171.677067,2159.10783523247,"FURIO_CAMILLO;PLUSSUR"
"1",487,"LAHAN","BOLIDO-DP034","mixed","S","3",161.04048,2192.707361,2156.83310534356,"LAHAN;BOLIDO-DP034"
"1",489,"GIUSTO","GIUSTO","pure","S","3",61.00384,2467.554496,2412.14367221657,"GIUSTO;GIUSTO"
"1",49,"Selcuklu-97","Selcuklu-97","pure","C","3",108.60776,2559.7543825,2380.45823789248,"Selcuklu-97;Selcuklu-97"
"1",490,"COLOSSEO_DP087","QUALIDOU","mixed","S","3",134.36136,2419.6379115,2546.11338657362,"COLOSSEO_DP087;QUALIDOU"
"1",491,"ANTALIS","ANTALIS","pure","S","3",83.86016,2085.1194545,1991.45567468901,"ANTALIS;ANTALIS"
"1",492,"EL4X_464","EL4X_464","pure","S","3",152.1072,2567.23467,2663.07652598611,"EL4X_464;EL4X_464"
"1",495,"MURANO","QUALIDOU","mixed","S","1",108.2456,2897.906122,2962.25192432336,"MURANO;QUALIDOU"
"1",496,"EL4X_120","CHAM-1_DP136","mixed","S","1",300.02944,3323.213897,3483.84474721229,"EL4X_120;CHAM-1_DP136"
"1",497,"NOBILIS","EL4X_428","mixed","S","1",108.40656,2561.8061185,2711.51639652009,"NOBILIS;EL4X_428"
"1",498,"ACADUR","ACADUR","pure","S","1",123.1344,2777.708588,2819.61448418881,"ACADUR;ACADUR"
"1",499,"MURANO","MURANO","pure","S","1",201.84384,4223.4558115,4089.51670265377,"MURANO;MURANO"
"1",5,"ORJAUNE","KOFA","mixed","C","1",54.60568,2202.1538955,2183.29488283842,"ORJAUNE;KOFA"
"1",50,"MURANO","SVEVO","mixed","C","3",55.04832,2717.69531,2469.99672217841,"MURANO;SVEVO"
"1",500,"BOLIDO-DP034","BOLIDO-DP034","pure","S","1",146.91624,3259.3108695,3318.47279783458,"BOLIDO-DP034;BOLIDO-DP034"
"1",501,"AVENTUR","ORJAUNE","mixed","S","1",71.86864,2819.683687,2755.13274343422,"AVENTUR;ORJAUNE"
"1",502,"EL4X_316","EL4X_316","pure","S","1",223.57344,2316.7946445,2367.21364595294,"EL4X_316;EL4X_316"
"1",503,"CHAM-1_DP136","CHAM-1_DP136","pure","S","2",76.73768,3217.0793035,3244.4810417613,"CHAM-1_DP136;CHAM-1_DP136"
"1",504,"MONASTIR","MONASTIR","pure","S","2",54.68616,3111.286666,3191.95213870411,"MONASTIR;MONASTIR"
"1",506,"GIUSTO","BOLIDO-DP034","mixed","S","2",76.0536,2737.272291,2686.93835116617,"GIUSTO;BOLIDO-DP034"
"1",507,"NOBILIS","LLOYD","mixed","S","2",71.70768,3457.0469265,3158.982258507,"NOBILIS;LLOYD"
"1",508,"GIUSTO","GIUSTO","pure","S","2",114.8852,2218.952484,2412.05414469484,"GIUSTO;GIUSTO"
"1",510,"RAMIREZ","LGBORIS","mixed","S","2",70.09808,2677.9001805,2635.75601511953,"RAMIREZ;LGBORIS"
"1",511,"Selcuklu-97","ANVERGUR","mixed","S","3",288.44032,2545.00753,2700.73107078978,"Selcuklu-97;ANVERGUR"
"1",512,"MURANO","ANTALIS","mixed","S","3",162.12696,3133.9839955,3185.71079147478,"MURANO;ANTALIS"
"1",513,"LAHAN","LAHAN","pure","S","3",84.66496,3636.3173595,3510.70117663969,"LAHAN;LAHAN"
