spectre,azote
Spectrum00001,2.829834
Spectrum00002,2.99588
Spectrum00003,3.004841
Spectrum00004,2.828898
Spectrum00005,2.724169
Spectrum00006,2.886488
Spectrum00007,2.549543
Spectrum00008,2.671678
Spectrum00009,2.533607
Spectrum00010,2.788232
Spectrum00011,2.564723
Spectrum00012,2.521591
Spectrum00013,2.970238
Spectrum00014,2.853845
Spectrum00015,2.841155
Spectrum00016,2.925009
Spectrum00017,2.581564
Spectrum00018,3.177608
Spectrum00019,2.974892
Spectrum00020,2.887083
Spectrum00021,2.861797
Spectrum00022,2.881712
Spectrum00023,2.442002
Spectrum00024,2.685709
Spectrum00025,2.83987
Spectrum00026,2.880459
Spectrum00027,3.181511
Spectrum00029,2.732533
Spectrum00030,2.806415
Spectrum00031,2.646919
Spectrum00032,3.096375
Spectrum00033,2.572445
Spectrum00034,2.968912
Spectrum00035,2.656575
Spectrum00036,3.068582
Spectrum00037,2.77066
Spectrum00038,2.700795
Spectrum00039,2.876077
Spectrum00040,2.765675
Spectrum00041,2.715478
Spectrum00042,2.511251
Spectrum00043,2.615718
Spectrum00044,2.760591
Spectrum00045,2.650326
Spectrum00046,2.598726
Spectrum00047,2.489933
Spectrum00048,2.757751
Spectrum00050,3.124013
Spectrum00051,2.297688
Spectrum00052,2.573805
Spectrum00053,2.546748
Spectrum00054,2.602105
Spectrum00055,2.757642
Spectrum00056,2.735058
Spectrum00057,2.857299
Spectrum00058,2.569532
Spectrum00059,2.608521
Spectrum00060,2.819047
Spectrum00061,2.849795
Spectrum00062,2.929723
Spectrum00063,2.89996
Spectrum00064,2.789166
Spectrum00065,2.510689
Spectrum00066,2.644356
Spectrum00067,2.72893
Spectrum00068,2.788138
Spectrum00069,2.481719
Spectrum00070,2.768904
Spectrum00071,2.441903
Spectrum00072,2.775147
Spectrum00073,2.657592
Spectrum00074,2.723677
Spectrum00075,2.664449
Spectrum00076,2.671244
Spectrum00077,2.505036
Spectrum00078,2.547924
Spectrum00079,2.862439
Spectrum00080,2.287174
Spectrum00081,2.838815
Spectrum00082,2.797591
Spectrum00083,2.941967
Spectrum00084,2.604815
Spectrum00085,2.746878
Spectrum00086,2.756816
Spectrum00087,2.80653
Spectrum00088,2.638462
Spectrum00089,2.610877
Spectrum00090,2.552498
Spectrum00091,2.87109
Spectrum00092,2.89937
Spectrum00093,2.899861
Spectrum00094,2.864187
Spectrum00095,2.828587
Spectrum00096,2.917181
Spectrum00098,2.43337
Spectrum00099,2.683291
Spectrum00100,2.601132
Spectrum00101,2.571232
Spectrum00102,2.535836
Spectrum00103,2.542333
Spectrum00104,2.736798
Spectrum00105,2.723125
Spectrum00106,2.570201
Spectrum00107,2.383151
Spectrum00108,2.623436
Spectrum00109,3.037567
Spectrum00110,2.802808
Spectrum00111,2.591889
Spectrum00112,2.51424
Spectrum00114,2.714581
Spectrum00117,2.926658
Spectrum00118,2.844463
Spectrum00119,2.758832
Spectrum00120,2.878209
Spectrum00121,2.810312
Spectrum00122,2.633957
Spectrum00124,2.817897
Spectrum00125,2.664557
Spectrum00126,2.591919
Spectrum00127,2.597917
Spectrum00128,2.625431
Spectrum00129,2.667445
Spectrum00130,2.776147
Spectrum00131,2.755473
Spectrum00132,2.458976
Spectrum00133,2.760131
Spectrum00134,2.995642
Spectrum00135,2.768051
Spectrum00136,2.812763
Spectrum00137,2.860325
Spectrum00138,2.813695
Spectrum00139,3.277504
Spectrum00140,2.627176
Spectrum00141,2.39963
Spectrum00142,2.555242
Spectrum00143,2.382945
Spectrum00144,2.66164
Spectrum00145,2.717563
Spectrum00146,3.117132
Spectrum00147,2.65195
Spectrum00148,2.577777
