spectre,rhyzotube ,comment
Spectrum00001,235,NA
Spectrum00002,235,NA
Spectrum00003,235,NA
Spectrum00004,235,NA
Spectrum00005,235,NA
Spectrum00006,235,NA
Spectrum00007,235,NA
Spectrum00008,235,NA
Spectrum00009,235,NA
Spectrum00010,235,NA
Spectrum00011,235,NA
Spectrum00012,235,NA
Spectrum00013,238,NA
Spectrum00014,238,NA
Spectrum00015,238,NA
Spectrum00016,238,NA
Spectrum00017,238,NA
Spectrum00018,238,NA
Spectrum00019,238,NA
Spectrum00020,238,NA
Spectrum00021,238,NA
Spectrum00022,238,NA
Spectrum00023,238,NA
Spectrum00024,238,NA
Spectrum00025,239,NA
Spectrum00026,239,NA
Spectrum00027,239,NA
Spectrum00028,239,NA
Spectrum00029,239,NA
Spectrum00030,239,NA
Spectrum00031,239,NA
Spectrum00032,239,NA
Spectrum00033,239,NA
Spectrum00034,239,NA
Spectrum00035,239,NA
Spectrum00036,239,NA
Spectrum00037,239,NA
Spectrum00038,240,NA
Spectrum00039,240,NA
Spectrum00040,240,NA
Spectrum00041,240,NA
Spectrum00042,240,NA
Spectrum00043,240,NA
Spectrum00044,240,NA
Spectrum00045,240,NA
Spectrum00046,240,NA
Spectrum00047,240,NA
Spectrum00048,240,NA
Spectrum00049,240,NA
Spectrum00050,241,NA
Spectrum00051,241,NA
Spectrum00052,241,NA
Spectrum00053,241,NA
Spectrum00054,241,NA
Spectrum00055,241,NA
Spectrum00056,241,NA
Spectrum00057,241,NA
Spectrum00058,241,NA
Spectrum00059,241,NA
Spectrum00060,241,NA
Spectrum00061,241,NA
Spectrum00062,242,NA
Spectrum00063,242,NA
Spectrum00064,242,NA
Spectrum00065,242,NA
Spectrum00066,242,NA
Spectrum00067,242,NA
Spectrum00068,242,NA
Spectrum00069,242,NA
Spectrum00070,242,NA
Spectrum00071,242,NA
Spectrum00072,242,NA
Spectrum00073,242,NA
Spectrum00074,243,NA
Spectrum00075,243,NA
Spectrum00076,243,NA
Spectrum00077,243,NA
Spectrum00078,243,NA
Spectrum00079,243,NA
Spectrum00080,243,NA
Spectrum00081,243,NA
Spectrum00082,243,NA
Spectrum00083,243,NA
Spectrum00084,243,NA
Spectrum00085,243,NA
Spectrum00086,244,PB
Spectrum00087,244,PB
Spectrum00088,244,NA
Spectrum00089,244,NA
Spectrum00090,244,NA
Spectrum00091,244,NA
Spectrum00092,244,NA
Spectrum00093,244,NA
Spectrum00094,244,NA
Spectrum00095,244,NA
Spectrum00096,244,NA
Spectrum00097,244,NA
Spectrum00098,244,NA
Spectrum00099,244,NA
Spectrum00100,245,NA
Spectrum00101,245,NA
Spectrum00102,245,NA
Spectrum00103,245,NA
Spectrum00104,245,NA
Spectrum00105,245,NA
Spectrum00106,245,NA
Spectrum00107,245,NA
Spectrum00108,245,NA
Spectrum00109,245,NA
Spectrum00110,245,NA
Spectrum00111,245,NA
Spectrum00112,246,NA
Spectrum00113,246,NA
Spectrum00114,246,NA
Spectrum00115,246,NA
Spectrum00116,246,NA
Spectrum00117,246,NA
Spectrum00118,246,NA
Spectrum00119,246,NA
Spectrum00120,246,NA
Spectrum00121,246,NA
Spectrum00122,246,NA
Spectrum00123,246,NA
Spectrum00124,247,NA
Spectrum00125,247,NA
Spectrum00126,247,NA
Spectrum00127,247,NA
Spectrum00128,247,NA
Spectrum00129,247,NA
Spectrum00130,247,NA
Spectrum00131,247,NA
Spectrum00132,247,NA
Spectrum00133,247,NA
Spectrum00134,247,NA
Spectrum00135,247,NA
Spectrum00136,248,NA
Spectrum00137,248,NA
Spectrum00138,248,NA
Spectrum00139,248,NA
Spectrum00140,248,NA
Spectrum00141,248,NA
Spectrum00142,248,NA
Spectrum00143,248,NA
Spectrum00144,248,NA
Spectrum00145,248,NA
Spectrum00146,248,NA
Spectrum00147,248,NA
Spectrum00148,249,NA
Spectrum00149,249,NA
Spectrum00150,249,NA
Spectrum00151,249,NA
Spectrum00152,249,NA
Spectrum00153,249,NA
Spectrum00154,249,NA
Spectrum00155,249,NA
Spectrum00156,249,NA
Spectrum00157,249,NA
Spectrum00158,249,NA
Spectrum00159,249,NA
Spectrum00160,250,NA
Spectrum00161,250,NA
Spectrum00162,250,NA
Spectrum00163,250,NA
Spectrum00164,250,NA
Spectrum00165,250,NA
Spectrum00166,250,NA
Spectrum00167,250,NA
Spectrum00168,250,NA
Spectrum00169,250,NA
Spectrum00170,250,NA
Spectrum00171,250,NA
Spectrum00172,251,NA
Spectrum00173,251,NA
Spectrum00174,251,NA
Spectrum00175,251,NA
Spectrum00176,251,NA
Spectrum00177,251,NA
Spectrum00178,251,NA
Spectrum00179,251,NA
Spectrum00180,251,NA
Spectrum00181,251,NA
Spectrum00182,251,NA
Spectrum00183,251,NA
Spectrum00184,252,NA
Spectrum00185,252,NA
Spectrum00186,252,NA
Spectrum00187,252,NA
Spectrum00189,252,NA
Spectrum00190,252,NA
Spectrum00191,252,NA
Spectrum00192,252,NA
Spectrum00193,252,NA
Spectrum00194,252,NA
Spectrum00195,252,NA
Spectrum00196,252,NA
Spectrum00197,253,NA
Spectrum00198,253,NA
Spectrum00199,253,NA
Spectrum00200,253,NA
Spectrum00201,253,NA
Spectrum00202,253,NA
Spectrum00203,253,NA
Spectrum00204,253,NA
Spectrum00205,253,NA
Spectrum00206,253,NA
Spectrum00207,253,NA
Spectrum00208,253,NA
Spectrum00209,254,NA
Spectrum00210,254,NA
Spectrum00211,254,NA
Spectrum00212,254,NA
Spectrum00213,254,NA
Spectrum00214,254,NA
Spectrum00215,254,NA
Spectrum00216,254,NA
Spectrum00217,254,NA
Spectrum00218,254,NA
Spectrum00219,254,NA
Spectrum00220,254,NA
Spectrum00221,255,NA
Spectrum00222,255,NA
Spectrum00223,255,NA
Spectrum00224,255,NA
Spectrum00225,255,NA
Spectrum00226,255,NA
Spectrum00227,255,NA
Spectrum00228,255,NA
Spectrum00229,255,NA
Spectrum00230,255,NA
Spectrum00232,255,NA
Spectrum00233,255,NA
Spectrum00234,256,NA
Spectrum00235,256,NA
Spectrum00236,256,NA
Spectrum00237,256,NA
Spectrum00238,256,NA
Spectrum00239,256,NA
Spectrum00240,256,NA
Spectrum00241,256,NA
Spectrum00242,256,NA
Spectrum00243,256,NA
Spectrum00244,256,NA
Spectrum00245,256,NA
Spectrum00246,256,PB
Spectrum00247,257,NA
Spectrum00248,257,NA
Spectrum00249,257,NA
Spectrum00250,257,NA
Spectrum00251,257,NA
Spectrum00252,257,NA
Spectrum00253,257,NA
Spectrum00254,257,NA
Spectrum00255,257,NA
Spectrum00256,257,NA
Spectrum00257,257,NA
Spectrum00258,257,NA
Spectrum00259,258,NA
Spectrum00260,258,NA
Spectrum00261,258,NA
Spectrum00262,258,NA
Spectrum00263,258,NA
Spectrum00264,258,NA
Spectrum00265,258,NA
Spectrum00266,258,NA
Spectrum00267,258,NA
Spectrum00268,258,NA
Spectrum00269,258,NA
Spectrum00270,258,NA
Spectrum00271,261,NA
Spectrum00272,261,NA
Spectrum00273,261,NA
Spectrum00274,261,NA
Spectrum00275,261,NA
Spectrum00276,261,NA
Spectrum00277,261,NA
Spectrum00278,261,NA
Spectrum00279,261,NA
Spectrum00280,261,NA
Spectrum00281,261,NA
Spectrum00282,261,NA
Spectrum00283,262,NA
Spectrum00284,262,NA
Spectrum00285,262,NA
Spectrum00286,262,NA
Spectrum00287,262,NA
Spectrum00288,262,NA
Spectrum00289,262,NA
Spectrum00290,262,NA
Spectrum00291,262,NA
Spectrum00292,262,NA
Spectrum00293,262,NA
Spectrum00294,262,NA
Spectrum00295,263,NA
Spectrum00296,263,NA
Spectrum00297,263,NA
Spectrum00298,263,NA
Spectrum00299,263,NA
Spectrum00300,263,NA
Spectrum00301,263,NA
Spectrum00302,263,NA
Spectrum00303,263,NA
Spectrum00305,263,NA
Spectrum00306,263,NA
Spectrum00307,264,NA
