spectre,azote
Spectrum00001,2.6948
Spectrum00002,3.0975
Spectrum00003,2.5763
Spectrum00004,2.9934
Spectrum00005,2.5036
Spectrum00006,3.0655
Spectrum00007,2.6724
Spectrum00008,3.1182
Spectrum00009,2.7066
Spectrum00010,3.1252
Spectrum00011,2.9393
Spectrum00012,3.2787
Spectrum00013,2.3708
Spectrum00014,2.8601
Spectrum00015,2.6538
Spectrum00016,3.2196
Spectrum00017,2.4605
Spectrum00018,3.2263
Spectrum00019,2.6047
Spectrum00020,3.1376
Spectrum00021,2.6593
Spectrum00022,3.2525
Spectrum00023,2.6885
Spectrum00024,3.1519
Spectrum00025,2.3576
Spectrum00026,2.8748
Spectrum00027,3.3428
Spectrum00028,2.5884
Spectrum00029,3.045
Spectrum00030,2.5847
Spectrum00031,3.0825
Spectrum00032,2.6564
Spectrum00033,3.0316
Spectrum00034,2.5427
Spectrum00035,3.0204
Spectrum00036,2.591
Spectrum00037,3.0625
Spectrum00038,3.1677
Spectrum00039,3.5528
Spectrum00040,3.0133
Spectrum00041,3.4148
Spectrum00042,3.06
Spectrum00043,3.3272
Spectrum00044,3.2057
Spectrum00045,2.7657
Spectrum00046,3.1546
Spectrum00047,3.4688
Spectrum00048,2.6784
Spectrum00049,3.3023
Spectrum00050,2.5447
Spectrum00051,2.9859
Spectrum00052,2.9253
Spectrum00053,3.1175
Spectrum00054,2.8072
Spectrum00055,3.1509
Spectrum00056,2.7384
Spectrum00057,3.212
Spectrum00058,2.8249
Spectrum00059,3.0422
Spectrum00060,2.7852
Spectrum00061,2.999
Spectrum00062,2.8178
Spectrum00063,3.2621
Spectrum00064,2.4174
Spectrum00065,2.9264
Spectrum00066,2.5493
Spectrum00067,3.0025
Spectrum00068,3.0954
Spectrum00069,3.3348
Spectrum00070,2.956
Spectrum00071,3.4603
Spectrum00072,2.6675
Spectrum00073,2.986
Spectrum00074,2.9647
Spectrum00075,3.3349
Spectrum00076,2.6451
Spectrum00077,3.0954
Spectrum00078,2.5706
Spectrum00079,3.115
Spectrum00080,2.5945
Spectrum00081,2.9913
Spectrum00082,2.8053
Spectrum00083,3.2277
Spectrum00084,3.1131
Spectrum00085,3.4052
Spectrum00086,2.833
Spectrum00087,2.7009
Spectrum00088,3.3141
Spectrum00089,3.3045
Spectrum00090,3.1241
Spectrum00091,3.6154
Spectrum00092,2.3725
Spectrum00093,2.9746
Spectrum00094,2.6612
Spectrum00095,3.3256
Spectrum00096,2.4057
Spectrum00097,2.8894
Spectrum00098,2.5709
Spectrum00099,3.1956
Spectrum00100,2.9283
Spectrum00101,3.2753
Spectrum00102,3.2203
Spectrum00103,3.558
Spectrum00104,2.7487
Spectrum00105,3.2054
Spectrum00106,3.2376
Spectrum00107,3.5674
Spectrum00108,3.1523
Spectrum00109,3.5449
Spectrum00110,3.0038
Spectrum00111,3.4629
Spectrum00112,3.6068
Spectrum00113,3.7748
Spectrum00114,2.9915
Spectrum00115,3.4397
Spectrum00116,3.1671
Spectrum00117,3.4522
Spectrum00118,2.9922
Spectrum00119,3.4995
Spectrum00120,3.1955
Spectrum00121,3.541
Spectrum00122,3.1662
Spectrum00123,3.3657
Spectrum00124,2.7994
Spectrum00125,3.2572
Spectrum00126,3.0146
Spectrum00127,3.4728
Spectrum00128,2.8214
Spectrum00129,3.2839
Spectrum00130,2.3646
Spectrum00131,2.9669
Spectrum00132,3.009
Spectrum00133,3.3745
Spectrum00134,3.1992
Spectrum00135,3.6166
Spectrum00136,2.9697
Spectrum00137,3.308
Spectrum00138,2.5043
Spectrum00139,3.0026
Spectrum00140,3.3009
Spectrum00141,3.5429
Spectrum00142,3.2271
Spectrum00143,3.654
Spectrum00144,3.0112
Spectrum00145,3.4934
Spectrum00146,2.8337
Spectrum00147,2.995
Spectrum00148,3.0045
Spectrum00149,3.2263
Spectrum00150,2.3669
Spectrum00151,2.941
Spectrum00152,3.4877
Spectrum00153,3.7937
Spectrum00154,2.7501
Spectrum00155,2.9024
Spectrum00156,3.4209
Spectrum00157,3.697
Spectrum00158,2.6384
Spectrum00159,2.9639
Spectrum00160,3.0487
Spectrum00161,3.4949
Spectrum00162,2.9619
Spectrum00163,3.2213
Spectrum00164,2.8731
Spectrum00165,3.2536
Spectrum00166,2.8922
Spectrum00167,3.2247
Spectrum00168,2.8228
Spectrum00169,3.1812
Spectrum00170,2.9655
Spectrum00171,3.4041
Spectrum00172,2.7892
Spectrum00173,3.171
Spectrum00174,3.1276
Spectrum00175,3.5483
Spectrum00176,2.8207
Spectrum00177,3.2076
Spectrum00178,2.5707
Spectrum00179,3.0789
Spectrum00180,2.7789
Spectrum00181,3.2061
Spectrum00182,2.8554
Spectrum00183,3.2871
Spectrum00184,2.9367
Spectrum00185,3.3197
Spectrum00186,3.4584
Spectrum00187,3.6274
Spectrum00188,4.2167
Spectrum00189,2.7184
Spectrum00190,3.2837
Spectrum00191,2.8906
Spectrum00192,3.2655
Spectrum00193,2.6341
Spectrum00194,3.1332
Spectrum00195,2.8184
Spectrum00196,2.9448
Spectrum00197,3.4791
Spectrum00198,3.6843
Spectrum00199,2.3725
Spectrum00200,3.1401
Spectrum00201,3.5503
Spectrum00202,2.5658
Spectrum00203,3.0114
Spectrum00204,2.7229
Spectrum00205,3.285
Spectrum00206,2.3732
Spectrum00207,2.8646
Spectrum00208,3.9953
Spectrum00209,2.6084
Spectrum00210,3.1302
Spectrum00211,2.4492
Spectrum00212,2.7125
Spectrum00213,2.4024
Spectrum00214,2.8472
Spectrum00215,2.4249
Spectrum00216,2.9744
Spectrum00217,2.8181
Spectrum00218,3.1083
Spectrum00219,2.613
Spectrum00220,3.0961
Spectrum00221,2.548
Spectrum00222,3.0865
Spectrum00223,2.6169
Spectrum00224,3.1218
Spectrum00225,2.7965
Spectrum00226,3.2443
Spectrum00227,2.9898
Spectrum00228,3.3195
Spectrum00229,2.7509
Spectrum00230,3.1444
Spectrum00231,4.1726
Spectrum00232,2.722
Spectrum00233,3.3157
Spectrum00234,2.8274
Spectrum00235,3.3494
Spectrum00236,2.5449
Spectrum00237,3.0839
Spectrum00238,3.6809
Spectrum00239,2.6977
Spectrum00240,3.405
Spectrum00241,2.4873
Spectrum00242,2.8613
Spectrum00243,2.786
Spectrum00244,3.2889
Spectrum00245,3.2322
Spectrum00246,3.5613
Spectrum00247,2.9754
Spectrum00248,3.4134
Spectrum00249,2.8585
Spectrum00250,3.2286
Spectrum00251,2.81
Spectrum00252,3.4036
Spectrum00253,2.6404
Spectrum00254,2.8763
Spectrum00255,3.0721
Spectrum00256,3.4184
Spectrum00257,2.6651
Spectrum00258,2.8311
Spectrum00259,2.6415
Spectrum00260,3.422
Spectrum00261,2.7118
Spectrum00262,3.3442
Spectrum00263,2.6045
Spectrum00264,3.1164
Spectrum00265,2.4944
Spectrum00266,2.9706
Spectrum00267,2.509
Spectrum00268,2.9534
Spectrum00269,2.8872
Spectrum00270,3.2835
Spectrum00271,2.4182
Spectrum00272,2.7464
Spectrum00273,2.926
Spectrum00274,3.3922
Spectrum00275,2.5741
Spectrum00276,3.0797
Spectrum00277,2.4266
Spectrum00278,2.9326
Spectrum00279,2.9223
Spectrum00280,3.3379
Spectrum00281,2.8389
Spectrum00282,3.3281
Spectrum00283,3.4048
Spectrum00284,3.6168
Spectrum00285,2.7537
Spectrum00286,3.273
Spectrum00287,2.8755
Spectrum00288,3.2777
Spectrum00289,2.5413
Spectrum00290,2.905
Spectrum00291,2.6158
Spectrum00292,3.0716
Spectrum00293,3.3157
Spectrum00294,3.6161
Spectrum00295,2.9034
Spectrum00296,3.2487
Spectrum00297,2.7867
Spectrum00298,3.2113
Spectrum00299,2.4606
Spectrum00300,2.9271
Spectrum00301,2.2651
Spectrum00302,2.9801
Spectrum00303,2.6584
Spectrum00304,3.0759
Spectrum00305,2.3833
Spectrum00306,2.8711
Spectrum00307,2.6383
Spectrum00308,3.1109
Spectrum00309,2.9459
Spectrum00310,3.1844
Spectrum00311,2.7677
Spectrum00312,3.0515
Spectrum00313,2.5794
Spectrum00314,3.0205
Spectrum00315,2.8118
Spectrum00316,3.0892
Spectrum00317,2.4657
Spectrum00318,2.9846
Spectrum00319,2.5124
Spectrum00320,2.9211
Spectrum00321,2.7659
Spectrum00322,3.0811
Spectrum00323,2.5424
Spectrum00324,3.1288
Spectrum00325,2.6234
Spectrum00326,3.0535
Spectrum00327,2.3725
Spectrum00328,2.9226
Spectrum00329,2.6839
Spectrum00330,3.2562
Spectrum00331,2.3813
Spectrum00332,2.8702
Spectrum00333,2.5378
Spectrum00334,2.6831
Spectrum00335,2.2799
Spectrum00336,2.7217
Spectrum00337,2.6542
Spectrum00338,3.1853
Spectrum00339,2.2672
Spectrum00340,2.999
Spectrum00341,3.1861
Spectrum00342,3.4438
Spectrum00343,2.3773
Spectrum00344,3.0332
Spectrum00345,2.9738
Spectrum00346,3.3237
Spectrum00347,2.594
Spectrum00348,3.1674
Spectrum00349,2.7482
Spectrum00350,3.1667
Spectrum00351,2.5695
Spectrum00352,3.0547
Spectrum00353,2.6608
Spectrum00354,2.967
Spectrum00355,2.4951
Spectrum00356,3.0157
Spectrum00357,2.5949
Spectrum00358,3.2662
Spectrum00359,2.4622
Spectrum00360,3.051
Spectrum00361,2.6179
Spectrum00362,3.1994
Spectrum00363,2.5124
Spectrum00364,3.206
Spectrum00365,2.558
Spectrum00366,3.3254
Spectrum00367,3.3686
Spectrum00368,3.5013
Spectrum00369,2.6227
Spectrum00370,3.087
Spectrum00371,2.9985
Spectrum00372,3.3012
Spectrum00373,2.501
Spectrum00374,2.9703
Spectrum00375,2.457
Spectrum00376,2.9405
Spectrum00377,2.7241
Spectrum00378,2.9065
Spectrum00379,2.4115
Spectrum00380,2.8275
Spectrum00381,2.7665
Spectrum00382,2.8645
Spectrum00383,2.2222
Spectrum00384,2.6959
Spectrum00385,2.401
Spectrum00386,2.8549
Spectrum00387,2.5717
Spectrum00388,2.9425
Spectrum00389,2.2705
Spectrum00390,2.5105
Spectrum00391,2.6677
Spectrum00392,3.3056
Spectrum00393,2.6346
Spectrum00394,3.1428
Spectrum00395,2.7966
Spectrum00396,3.0671
Spectrum00397,3.0036
Spectrum00398,3.3647
Spectrum00399,2.5593
Spectrum00400,2.9824
Spectrum00401,2.4958
Spectrum00402,3.0475
Spectrum00403,2.382
Spectrum00404,3.0787
Spectrum00405,2.5911
Spectrum00406,3.0059
Spectrum00407,2.4968
Spectrum00408,3.1975
Spectrum00409,2.7187
Spectrum00410,2.6262
Spectrum00411,3.1003
Spectrum00412,2.4368
Spectrum00413,3.1317
Spectrum00414,2.5218
Spectrum00415,3.1222
Spectrum00416,3.4228
Spectrum00417,3.7473
Spectrum00418,2.8618
Spectrum00419,3.2766
