spectre,azote
Spectrum00252,3.200464
Spectrum00253,2.919607
Spectrum00254,3.137897
Spectrum00255,3.058107
Spectrum00256,3.049411
Spectrum00257,3.134369
Spectrum00258,3.04888
Spectrum00259,3.172766
Spectrum00260,3.0547
Spectrum00261,2.903193
Spectrum00262,3.126135
Spectrum00263,3.001811
Spectrum00264,2.830198
Spectrum00266,2.857277
Spectrum00267,2.965979
Spectrum00268,3.074937
Spectrum00269,2.968099
Spectrum00270,2.803547
Spectrum00271,2.814287
Spectrum00272,3.179783
Spectrum00273,2.950093
Spectrum00274,3.109897
Spectrum00275,3.092048
Spectrum00276,2.97916
Spectrum00278,2.880593
Spectrum00279,2.856849
Spectrum00280,2.881196
Spectrum00281,2.799339
Spectrum00282,2.713612
Spectrum00283,2.989393
Spectrum00284,3.106759
Spectrum00285,2.789393
Spectrum00286,3.100727
Spectrum00287,3.056326
Spectrum00288,3.001542
Spectrum00289,2.74247
Spectrum00290,3.103559
Spectrum00291,3.366376
Spectrum00292,3.226883
Spectrum00293,3.026775
Spectrum00294,2.643615
Spectrum00295,2.91061
Spectrum00296,2.950081
Spectrum00297,3.203206
Spectrum00298,3.029922
Spectrum00299,3.212757
Spectrum00300,2.864882
Spectrum00302,2.992934
Spectrum00303,3.205419
Spectrum00304,3.32755
Spectrum00305,3.26948
Spectrum00306,3.301116
Spectrum00307,3.236579
Spectrum00308,3.182827
Spectrum00310,3.05498
Spectrum00311,2.900719
Spectrum00312,3.082762
Spectrum00313,2.7558
Spectrum00314,3.040918
Spectrum00315,3.105678
Spectrum00316,3.157512
Spectrum00317,2.997106
Spectrum00318,3.22827
Spectrum00319,3.045375
Spectrum00320,3.216884
Spectrum00321,3.395517
Spectrum00322,3.019892
Spectrum00323,3.425534
Spectrum00324,3.118873
Spectrum00325,3.194145
Spectrum00326,3.13216
Spectrum00327,2.890378
Spectrum00328,3.064517
Spectrum00329,3.025009
Spectrum00330,3.054364
Spectrum00331,3.014961
Spectrum00332,3.055262
Spectrum00333,3.31742
Spectrum00334,3.376922
Spectrum00335,3.204064
Spectrum00336,3.172101
Spectrum00337,3.286931
Spectrum00338,3.201279
Spectrum00340,2.972825
Spectrum00341,2.845504
Spectrum00342,2.992732
Spectrum00343,3.16316
Spectrum00344,2.552959
Spectrum00345,2.827496
Spectrum00346,2.734735
Spectrum00347,2.765446
Spectrum00348,2.996543
Spectrum00349,2.817676
Spectrum00350,2.705199
Spectrum00351,3.652379
Spectrum00352,3.223151
Spectrum00353,3.059618
Spectrum00354,3.176332
Spectrum00355,3.047602
Spectrum00356,3.033971
Spectrum00357,3.012792
Spectrum00358,2.60774
Spectrum00359,2.962501
Spectrum00360,2.862087
Spectrum00361,3.265679
Spectrum00362,2.86938
Spectrum00363,3.096994
Spectrum00364,2.615185
Spectrum00365,3.306077
Spectrum00366,2.803209
Spectrum00367,3.469074
Spectrum00368,2.700454
Spectrum00369,2.802105
Spectrum00370,2.756124
Spectrum00371,2.909922
Spectrum00372,3.106263
Spectrum00373,2.784233
Spectrum00374,2.806119
Spectrum00375,3.145706
Spectrum00376,2.860713
Spectrum00377,3.05383
Spectrum00378,3.214125
Spectrum00379,2.890107
Spectrum00380,3.03009
Spectrum00381,3.107698
Spectrum00382,2.961936
Spectrum00383,3.000561
Spectrum00384,3.095198
Spectrum00385,3.107414
Spectrum00386,3.369376
Spectrum00387,3.122091
Spectrum00388,3.058955
Spectrum00389,3.19205
Spectrum00390,2.815134
Spectrum00391,2.914768
Spectrum00392,2.987426
Spectrum00393,2.952576
Spectrum00394,2.82467
Spectrum00395,2.971607
Spectrum00396,2.909175
Spectrum00397,2.681766
Spectrum00398,2.772758
Spectrum00399,2.920741
Spectrum00400,2.936958
Spectrum00401,2.89543
Spectrum00402,2.993904
Spectrum00403,2.724078
Spectrum00404,2.897129
Spectrum00405,3.575161
Spectrum00406,3.525052
Spectrum00407,3.537049
Spectrum00408,3.325848
Spectrum00409,3.539076
Spectrum00410,3.821344
Spectrum00411,3.660356
Spectrum00412,3.270196
Spectrum00413,2.869573
Spectrum00414,2.992152
Spectrum00415,3.040141
Spectrum00416,3.005375
Spectrum00417,3.165181
Spectrum00418,2.886934
Spectrum00419,2.882103
Spectrum00420,3.169006
Spectrum00421,3.038271
Spectrum00422,3.447343
Spectrum00423,3.435741
Spectrum00424,3.445163
Spectrum00425,3.361032
Spectrum00426,3.726288
Spectrum00427,3.215505
Spectrum00428,3.483332
Spectrum00429,3.242153
Spectrum00430,3.593756
Spectrum00431,3.671237
Spectrum00432,3.462976
Spectrum00433,3.427987
Spectrum00435,3.271268
Spectrum00436,3.720653
Spectrum00437,3.422445
Spectrum00438,3.511116
Spectrum00439,3.395576
Spectrum00440,3.550597
Spectrum00441,3.451355
Spectrum00442,3.372292
Spectrum00443,3.406714
Spectrum00444,3.316906
Spectrum00445,3.541866
Spectrum00446,3.502777
Spectrum00447,3.080772
Spectrum00448,3.16359
Spectrum00449,3.573279
Spectrum00450,3.132676
Spectrum00451,3.329671
Spectrum00452,3.38149
Spectrum00453,3.263796
Spectrum00454,3.544564
Spectrum00455,2.913207
Spectrum00456,3.139334
Spectrum00457,3.077873
Spectrum00458,2.842434
Spectrum00459,2.900227
Spectrum00460,2.971951
Spectrum00462,2.776694
Spectrum00463,3.153631
Spectrum00464,3.128297
Spectrum00465,3.072972
Spectrum00466,3.283732
Spectrum00467,3.35907
Spectrum00468,3.686934
Spectrum00469,3.230909
Spectrum00470,3.368161
Spectrum00471,3.592366
Spectrum00472,3.73546
Spectrum00473,3.365912
Spectrum00474,3.55967
Spectrum00475,3.18788
Spectrum00476,3.36121
Spectrum00478,2.693954
Spectrum00479,3.146633
Spectrum00480,3.035825
Spectrum00481,3.002367
Spectrum00482,3.093806
Spectrum00483,2.893203
Spectrum00484,2.765277
Spectrum00485,3.429258
Spectrum00486,3.594126
Spectrum00487,3.322078
Spectrum00488,2.965444
Spectrum00489,3.25242
Spectrum00490,3.779325
Spectrum00491,3.512186
Spectrum00492,3.318144
Spectrum00493,3.258818
Spectrum00494,3.358213
Spectrum00495,3.311154
Spectrum00496,3.232957
Spectrum00497,3.116923
Spectrum00499,3.063207
Spectrum00500,3.407525
Spectrum00501,3.144636
Spectrum00502,3.548185
Spectrum00503,3.757484
Spectrum00504,3.013069
Spectrum00505,2.87474
Spectrum00506,2.895371
Spectrum00507,2.656954
Spectrum00508,3.178373
Spectrum00509,3.568688
Spectrum00510,2.702182
Spectrum00511,2.780484
Spectrum00512,2.848291
Spectrum00513,3.526373
Spectrum00514,2.832386
Spectrum00515,3.144395
Spectrum00516,3.014363
Spectrum00517,3.138278
Spectrum00518,3.075688
Spectrum00519,3.413807
Spectrum00520,3.968481
Spectrum00521,3.024964
Spectrum00522,3.114602
Spectrum00524,3.319539
Spectrum00525,3.065156
Spectrum00526,3.414921
Spectrum00527,3.563393
Spectrum00528,3.819493
Spectrum00529,3.346466
Spectrum00530,3.280895
Spectrum00531,3.505892
Spectrum00532,3.255661
Spectrum00533,3.22422
Spectrum00534,3.379873
Spectrum00535,2.991296
Spectrum00536,3.106626
Spectrum00537,3.538464
Spectrum00538,3.476907
Spectrum00539,3.346301
Spectrum00540,3.384425
Spectrum00541,3.495887
Spectrum00542,3.552216
Spectrum00543,3.238166
Spectrum00544,3.99918
Spectrum00545,3.424978
Spectrum00546,3.159461
Spectrum00547,3.505245
Spectrum00548,3.357919
Spectrum00549,3.396362
Spectrum00550,3.495969
Spectrum00551,3.695519
Spectrum00552,3.355191
Spectrum00553,3.779599
Spectrum00554,3.162982
Spectrum00555,3.80559
Spectrum00556,3.13139
Spectrum00558,3.148796
Spectrum00559,3.280061
Spectrum00560,3.544913
Spectrum00561,3.06562
Spectrum00562,3.52383
Spectrum00563,3.290051
Spectrum00564,3.019666
Spectrum00565,3.400072
Spectrum00566,3.636388
Spectrum00567,3.378546
Spectrum00568,3.088623
Spectrum00569,3.359004
Spectrum00570,3.375488
Spectrum00571,3.458291
Spectrum00572,3.25779
Spectrum00573,3.209003
Spectrum00574,3.248936
Spectrum00575,3.136484
Spectrum00576,3.3621
Spectrum00577,3.128453
Spectrum00578,2.937766
Spectrum00579,3.074316
Spectrum00580,3.042321
Spectrum00581,3.058657
Spectrum00582,2.88133
Spectrum00583,3.106261
Spectrum00584,2.988061
Spectrum00585,3.011358
Spectrum00586,2.852367
Spectrum00587,3.219849
Spectrum00588,3.345559
Spectrum00589,3.14221
Spectrum00590,3.476236
Spectrum00591,3.185052
Spectrum00592,3.263222
Spectrum00593,3.22567
Spectrum00594,3.285973
Spectrum00595,3.236729
Spectrum00596,3.369538
Spectrum00597,2.835432
Spectrum00598,3.376767
Spectrum00599,3.57375
Spectrum00600,3.138644
Spectrum00601,3.641387
Spectrum00602,3.31615
Spectrum00603,3.539855
Spectrum00604,3.623591
Spectrum00605,3.173594
Spectrum00606,3.724697
Spectrum00608,3.415967
Spectrum00609,3.33025
Spectrum00610,3.283609
Spectrum00611,3.751124
Spectrum00612,3.773894
Spectrum00613,3.497902
Spectrum00614,3.609154
Spectrum00615,3.380355
Spectrum00616,3.284461
Spectrum00617,3.400975
Spectrum00618,3.472322
Spectrum00619,3.678964
Spectrum00620,3.286615
Spectrum00621,3.096653
Spectrum00622,3.220399
Spectrum00623,3.573002
Spectrum00624,3.335853
Spectrum00625,3.427184
Spectrum00626,3.372453
Spectrum00627,3.168598
Spectrum00628,3.118028
Spectrum00629,4.106994
Spectrum00630,3.050549
Spectrum00631,3.327958
Spectrum00632,3.562663
Spectrum00633,3.624288
Spectrum00634,3.125683
Spectrum00635,3.992525
Spectrum00636,3.720493
Spectrum00637,3.627358
Spectrum00638,3.519037
Spectrum00639,3.606485
Spectrum00640,3.596373
Spectrum00641,3.643907
Spectrum00642,3.958783
Spectrum00643,3.075442
Spectrum00644,3.274217
Spectrum00645,3.444156
Spectrum00646,3.667651
Spectrum00647,3.990188
Spectrum00648,3.743302
Spectrum00649,3.583645
Spectrum00650,3.153451
Spectrum00651,3.460662
Spectrum00652,3.462174
Spectrum00653,3.716947
Spectrum00654,3.312316
Spectrum00655,3.334243
Spectrum00656,3.491756
Spectrum00657,3.389241
Spectrum00658,3.618057
Spectrum00659,3.686357
Spectrum00660,3.314233
Spectrum00661,3.330253
Spectrum00662,3.391068
Spectrum00663,3.293496
Spectrum00664,3.6108
Spectrum00665,3.559991
Spectrum00666,3.381417
Spectrum00667,3.562413
Spectrum00668,3.497931
Spectrum00669,3.53319
Spectrum00670,3.575704
Spectrum00671,3.150633
Spectrum00672,3.368406
Spectrum00673,3.951262
Spectrum00674,3.591556
Spectrum00675,3.26027
Spectrum00676,3.27277
Spectrum00677,3.482121
Spectrum00678,3.428893
Spectrum00679,3.851064
Spectrum00680,3.098237
Spectrum00681,3.6461
Spectrum00682,3.139082
Spectrum00683,3.458245
Spectrum00684,3.579931
Spectrum00685,3.45841
Spectrum00686,3.56232
Spectrum00687,3.265988
Spectrum00688,3.56268
Spectrum00689,3.301287
Spectrum00690,3.140972
Spectrum00691,3.057287
Spectrum00692,3.267088
Spectrum00693,3.264686
Spectrum00694,3.198976
Spectrum00695,3.112865
Spectrum00696,3.298991
Spectrum00697,3.215566
Spectrum00698,3.380191
Spectrum00699,3.158983
Spectrum00700,3.084034
Spectrum00701,3.191564
Spectrum00702,3.347152
Spectrum00703,3.25269
Spectrum00704,3.225652
Spectrum00705,3.009877
Spectrum00706,3.163861
Spectrum00707,3.653478
Spectrum00708,3.602726
Spectrum00709,3.022493
Spectrum00710,3.672409
Spectrum00712,3.404755
Spectrum00713,3.397874
Spectrum00715,3.220685
Spectrum00716,3.271846
Spectrum00717,3.113227
Spectrum00718,3.506413
Spectrum00719,2.863432
Spectrum00720,3.241068
Spectrum00721,3.214053
Spectrum00722,3.39422
Spectrum00723,3.450729
Spectrum00724,3.563315
Spectrum00725,3.210016
Spectrum00726,3.460219
Spectrum00727,3.409629
Spectrum00728,3.110563
Spectrum00729,3.401921
Spectrum00730,3.182239
Spectrum00731,3.210582
Spectrum00732,3.302942
Spectrum00733,3.105148
Spectrum00734,3.677085
Spectrum00735,3.117614
Spectrum00737,3.169232
Spectrum00738,3.643023
Spectrum00739,3.230179
Spectrum00740,3.250118
Spectrum00741,2.99037
Spectrum00742,3.0649
Spectrum00743,3.135726
Spectrum00744,3.174132
Spectrum00745,3.49918
Spectrum00746,3.838319
Spectrum00747,3.257411
Spectrum00748,3.336775
Spectrum00749,3.306745
Spectrum00750,3.419592
Spectrum00751,3.099404
Spectrum00752,3.411014
Spectrum00753,3.277244
Spectrum00754,3.41031
Spectrum00755,3.32879
Spectrum00756,3.389261
Spectrum00757,3.574959
Spectrum00758,3.314781
Spectrum00759,3.386785
Spectrum00760,3.209084
Spectrum00761,3.445128
Spectrum00762,3.289861
Spectrum00763,3.336424
Spectrum00764,3.688466
Spectrum00765,3.298293
