spectre,rhyzotube ,comment
Spectrum00001,165,NA
Spectrum00002,165,NA
Spectrum00003,165,NA
Spectrum00004,165,NA
Spectrum00005,165,NA
Spectrum00006,165,NA
Spectrum00007,166,PB
Spectrum00008,166,PB
Spectrum00009,166,PB
Spectrum00010,166,PB
Spectrum00011,166,PB
Spectrum00012,166,PB
Spectrum00013,167,NA
Spectrum00014,167,NA
Spectrum00015,167,NA
Spectrum00016,167,NA
Spectrum00017,167,NA
Spectrum00018,167,NA
Spectrum00019,168,NA
Spectrum00020,168,NA
Spectrum00021,168,NA
Spectrum00022,168,NA
Spectrum00023,168,NA
Spectrum00024,168,NA
Spectrum00025,169,NA
Spectrum00026,169,NA
Spectrum00027,169,NA
Spectrum00028,169,NA
Spectrum00029,169,NA
Spectrum00030,169,NA
Spectrum00031,170,NA
Spectrum00032,170,NA
Spectrum00033,170,NA
Spectrum00034,170,NA
Spectrum00035,170,NA
Spectrum00036,170,NA
Spectrum00037,171,NA
Spectrum00038,171,NA
Spectrum00039,171,NA
Spectrum00040,171,NA
Spectrum00041,171,NA
Spectrum00042,171,NA
Spectrum00043,172,NA
Spectrum00044,172,NA
Spectrum00045,172,NA
Spectrum00046,172,NA
Spectrum00047,172,NA
Spectrum00048,172,NA
Spectrum00049,173,NA
Spectrum00050,173,NA
Spectrum00051,173,NA
Spectrum00052,173,NA
Spectrum00053,173,NA
Spectrum00054,173,NA
Spectrum00055,174,NA
Spectrum00056,174,NA
Spectrum00057,174,NA
Spectrum00058,174,NA
Spectrum00059,174,NA
Spectrum00060,174,NA
Spectrum00061,175,NA
Spectrum00062,175,NA
Spectrum00063,175,NA
Spectrum00064,175,NA
Spectrum00065,175,NA
Spectrum00066,175,NA
Spectrum00067,176,NA
Spectrum00068,176,NA
Spectrum00069,176,NA
Spectrum00070,176,NA
Spectrum00071,176,NA
Spectrum00072,176,NA
Spectrum00073,177,NA
Spectrum00074,177,NA
Spectrum00075,177,NA
Spectrum00076,177,NA
Spectrum00077,177,NA
Spectrum00078,177,NA
Spectrum00079,178,NA
Spectrum00080,178,NA
Spectrum00081,178,NA
Spectrum00082,178,NA
Spectrum00083,178,NA
Spectrum00084,178,NA
Spectrum00085,179,NA
Spectrum00086,179,NA
Spectrum00087,179,NA
Spectrum00088,179,NA
Spectrum00089,179,NA
Spectrum00090,179,NA
Spectrum00091,180,NA
Spectrum00092,180,NA
Spectrum00093,180,NA
