spectre,rhyzotube ,comment
Spectrum00001,79,NA
Spectrum00002,79,NA
Spectrum00003,79,NA
Spectrum00004,79,NA
Spectrum00005,79,NA
Spectrum00006,79,NA
Spectrum00007,80,NA
Spectrum00008,80,NA
Spectrum00009,80,NA
Spectrum00010,80,NA
Spectrum00011,80,NA
Spectrum00012,80,NA
Spectrum00013,81,NA
Spectrum00014,81,NA
Spectrum00015,81,NA
Spectrum00016,81,NA
Spectrum00017,81,NA
Spectrum00018,81,NA
Spectrum00019,82,NA
Spectrum00020,82,NA
Spectrum00021,82,NA
Spectrum00022,82,NA
Spectrum00023,82,NA
Spectrum00024,82,NA
Spectrum00025,83,NA
Spectrum00026,83,NA
Spectrum00027,83,NA
Spectrum00028,83,NA
Spectrum00029,83,NA
Spectrum00030,83,NA
Spectrum00031,84,NA
Spectrum00032,84,NA
Spectrum00033,84,NA
Spectrum00034,84,NA
Spectrum00035,84,NA
Spectrum00036,84,NA
Spectrum00037,85,NA
Spectrum00038,85,NA
Spectrum00039,85,NA
Spectrum00040,85,NA
Spectrum00041,85,NA
Spectrum00042,85,NA
Spectrum00043,86,NA
Spectrum00044,86,NA
Spectrum00045,86,NA
Spectrum00046,86,NA
Spectrum00047,86,NA
Spectrum00048,86,NA
Spectrum00049,87,NA
Spectrum00050,87,NA
Spectrum00051,87,NA
Spectrum00052,87,NA
Spectrum00053,87,NA
Spectrum00054,87,NA
Spectrum00055,88,NA
Spectrum00056,88,NA
Spectrum00057,88,NA
Spectrum00058,88,NA
Spectrum00059,88,NA
Spectrum00060,88,NA
Spectrum00061,89,NA
Spectrum00062,89,NA
Spectrum00063,89,NA
Spectrum00064,89,NA
Spectrum00065,89,NA
Spectrum00066,89,NA
Spectrum00067,90,NA
Spectrum00068,90,NA
Spectrum00069,90,NA
Spectrum00070,90,NA
Spectrum00071,90,NA
Spectrum00072,90,NA
Spectrum00073,91,NA
Spectrum00074,91,NA
Spectrum00075,91,NA
Spectrum00076,91,NA
Spectrum00077,91,NA
Spectrum00078,91,NA
Spectrum00079,92,NA
Spectrum00080,92,NA
Spectrum00081,92,NA
Spectrum00082,92,NA
