spectre,azote
Spectrum00001,3.072681
Spectrum00002,3.848797
Spectrum00003,3.270242
Spectrum00004,3.417195
Spectrum00005,3.590432
Spectrum00006,3.143703
Spectrum00007,3.140063
Spectrum00008,2.926314
Spectrum00009,3.380495
Spectrum00010,3.099087
Spectrum00011,3.119609
Spectrum00012,6.652655
Spectrum00013,3.164437
Spectrum00014,2.950002
Spectrum00015,2.961104
Spectrum00016,3.088223
Spectrum00017,2.887217
Spectrum00018,3.117848
Spectrum00019,3.054264
Spectrum00020,3.355324
Spectrum00021,3.19728
Spectrum00022,3.266257
Spectrum00023,3.098653
Spectrum00024,3.582787
Spectrum00025,3.025996
Spectrum00026,3.438597
Spectrum00027,3.090531
Spectrum00028,2.871457
Spectrum00029,3.15465
Spectrum00030,3.287858
Spectrum00031,3.276711
Spectrum00032,0.74508
Spectrum00033,3.006535
Spectrum00034,3.281162
Spectrum00035,3.119834
Spectrum00036,3.391626
Spectrum00037,3.153861
Spectrum00038,3.267025
Spectrum00039,3.02096
Spectrum00040,3.075194
Spectrum00041,3.124647
Spectrum00042,2.962202
Spectrum00043,3.214186
Spectrum00044,3.175647
Spectrum00045,2.978558
Spectrum00046,2.951991
Spectrum00047,3.39376
Spectrum00048,3.191408
Spectrum00049,3.425785
Spectrum00050,3.261943
Spectrum00051,3.342268
Spectrum00052,3.275252
Spectrum00053,3.671279
Spectrum00054,3.246348
Spectrum00055,3.344069
Spectrum00056,3.240794
Spectrum00057,3.203639
Spectrum00058,3.231007
Spectrum00059,3.45176
Spectrum00060,3.086714
Spectrum00061,3.171839
Spectrum00062,2.886914
Spectrum00063,2.820285
Spectrum00064,3.048496
Spectrum00065,3.021272
Spectrum00066,3.208458
Spectrum00067,3.279111
Spectrum00068,3.171381
Spectrum00069,3.11652
Spectrum00070,3.167602
Spectrum00071,3.17572
Spectrum00072,3.248675
Spectrum00073,3.122096
Spectrum00074,3.152307
Spectrum00075,2.8903
Spectrum00076,2.715572
Spectrum00077,2.92111
Spectrum00078,3.21962
Spectrum00079,2.791528
Spectrum00080,3.03515
Spectrum00081,2.951761
Spectrum00082,3.09493
Spectrum00083,2.742733
Spectrum00084,2.90158
Spectrum00085,2.77036
Spectrum00086,2.666613
Spectrum00087,3.051873
Spectrum00088,2.816014
Spectrum00089,2.99024
Spectrum00090,2.781608
Spectrum00091,3.305803
Spectrum00092,1.822517
Spectrum00093,3.637583
Spectrum00094,3.535119
Spectrum00095,2.573971
Spectrum00096,3.085339
Spectrum00097,3.402244
Spectrum00098,3.208016
Spectrum00099,2.899922
Spectrum00100,2.922598
Spectrum00101,2.885881
Spectrum00102,2.947874
Spectrum00103,2.9207
Spectrum00104,3.018918
Spectrum00105,2.923501
Spectrum00106,3.044596
Spectrum00107,2.827912
Spectrum00108,2.964837
Spectrum00109,3.294983
Spectrum00110,2.747717
Spectrum00111,3.48266
Spectrum00112,2.827021
Spectrum00113,2.816019
Spectrum00114,2.905788
Spectrum00115,3.079776
Spectrum00116,3.413196
Spectrum00117,2.627343
Spectrum00118,2.157491
Spectrum00119,3.077217
Spectrum00120,2.758835
Spectrum00121,2.87085
Spectrum00122,2.852896
Spectrum00123,3.110482
Spectrum00124,2.8778
Spectrum00125,2.772532
Spectrum00126,2.751518
Spectrum00127,3.048095
Spectrum00128,3.150652
Spectrum00129,3.053708
Spectrum00130,3.231128
Spectrum00131,3.338736
Spectrum00132,3.118328
Spectrum00133,2.779895
Spectrum00134,3.412333
Spectrum00135,2.944102
Spectrum00136,3.591281
Spectrum00137,2.940862
Spectrum00138,2.948632
Spectrum00139,3.247157
Spectrum00140,3.574042
Spectrum00141,3.101082
Spectrum00142,3.120865
Spectrum00143,3.204039
Spectrum00144,3.160994
Spectrum00145,3.397955
Spectrum00146,3.144582
Spectrum00147,2.906061
Spectrum00148,3.221041
Spectrum00149,3.078035
Spectrum00150,2.941438
Spectrum00151,3.709897
Spectrum00152,3.72993
Spectrum00153,3.271383
Spectrum00154,3.266905
Spectrum00155,3.097544
Spectrum00156,3.547442
Spectrum00157,3.773336
Spectrum00158,3.713373
Spectrum00159,3.449697
Spectrum00160,3.300401
Spectrum00161,3.305513
Spectrum00162,3.552919
Spectrum00163,3.320238
Spectrum00164,2.818918
Spectrum00165,3.090644
Spectrum00166,5.016083
Spectrum00167,2.904239
Spectrum00168,3.020791
Spectrum00169,5.454893
Spectrum00170,2.770931
Spectrum00171,3.024953
Spectrum00172,2.982989
Spectrum00173,1.439715
Spectrum00174,3.055557
Spectrum00175,2.974671
Spectrum00176,2.913609
Spectrum00177,3.183859
Spectrum00178,3.055136
Spectrum00179,3.15684
Spectrum00180,4.111753
Spectrum00181,3.311408
Spectrum00182,3.214892
Spectrum00183,2.8711
Spectrum00184,3.107979
Spectrum00185,3.129782
Spectrum00186,2.99091
Spectrum00187,3.252023
Spectrum00188,3.275777
Spectrum00189,3.101681
Spectrum00190,2.967234
Spectrum00191,3.289021
Spectrum00192,3.101448
Spectrum00193,3.144235
Spectrum00194,3.015476
Spectrum00195,3.484393
Spectrum00196,3.191118
Spectrum00197,3.096279
Spectrum00198,3.562938
Spectrum00199,2.992565
Spectrum00200,3.191841
Spectrum00201,3.367247
Spectrum00202,3.103461
Spectrum00203,2.852577
Spectrum00204,3.1121
Spectrum00205,2.882295
Spectrum00206,3.291003
Spectrum00207,3.144615
Spectrum00208,3.261884
Spectrum00209,3.295168
Spectrum00210,3.452972
Spectrum00211,3.316971
Spectrum00212,3.313437
Spectrum00213,3.245465
Spectrum00214,2.733074
Spectrum00215,2.743351
Spectrum00216,2.668055
Spectrum00217,2.860315
Spectrum00218,2.630339
Spectrum00219,2.688287
Spectrum00220,2.965212
Spectrum00221,3.265801
Spectrum00222,2.960633
Spectrum00223,2.991967
Spectrum00224,2.235216
Spectrum00225,2.752133
Spectrum00226,2.867951
Spectrum00227,2.739066
Spectrum00228,3.042185
Spectrum00229,2.858747
Spectrum00230,3.034101
Spectrum00231,2.939084
Spectrum00232,3.018368
Spectrum00233,2.826511
Spectrum00234,3.074133
Spectrum00235,2.757529
Spectrum00236,2.776241
Spectrum00237,2.766142
Spectrum00238,2.552952
Spectrum00239,2.747522
Spectrum00240,2.60777
Spectrum00241,2.992168
Spectrum00242,2.822055
Spectrum00243,2.573922
Spectrum00244,2.865907
Spectrum00245,2.808036
Spectrum00246,3.012199
Spectrum00247,2.909616
Spectrum00248,2.861193
Spectrum00249,3.017883
Spectrum00250,3.478965
Spectrum00251,3.435171
Spectrum00252,3.13986
Spectrum00253,2.983975
Spectrum00254,3.225594
Spectrum00255,3.02606
Spectrum00256,3.642554
Spectrum00257,2.984558
Spectrum00258,2.948097
Spectrum00259,3.398313
Spectrum00260,2.738369
Spectrum00261,2.948267
Spectrum00262,2.825018
Spectrum00263,2.808622
Spectrum00264,2.795033
Spectrum00265,2.947444
Spectrum00266,2.766361
Spectrum00267,2.800187
Spectrum00268,2.861426
Spectrum00269,2.942996
Spectrum00270,2.820714
Spectrum00271,2.90763
Spectrum00272,2.602093
Spectrum00273,2.867567
Spectrum00274,2.677557
Spectrum00275,2.862427
Spectrum00276,2.608152
Spectrum00277,2.500435
Spectrum00278,2.69635
Spectrum00279,2.763906
Spectrum00280,2.650554
Spectrum00281,2.981451
Spectrum00282,2.807418
Spectrum00283,3.038091
Spectrum00284,2.914897
Spectrum00285,3.080043
Spectrum00286,2.816209
Spectrum00287,3.015215
Spectrum00288,2.890554
Spectrum00289,2.8148
Spectrum00290,2.773232
Spectrum00291,2.933892
Spectrum00292,3.000059
Spectrum00293,2.764631
Spectrum00294,2.866277
Spectrum00295,2.415394
Spectrum00296,3.063557
Spectrum00297,2.404069
Spectrum00298,2.943124
Spectrum00299,2.767172
Spectrum00300,3.086293
Spectrum00301,3.005394
Spectrum00302,2.974397
Spectrum00303,2.988409
Spectrum00304,2.863484
Spectrum00305,2.819426
Spectrum00306,2.766927
Spectrum00307,3.252312
Spectrum00308,2.898705
Spectrum00309,3.03206
Spectrum00310,3.247371
Spectrum00311,2.906994
Spectrum00312,3.095905
Spectrum00313,3.412411
Spectrum00314,2.765255
Spectrum00315,3.199896
Spectrum00316,2.50241
Spectrum00317,2.749207
Spectrum00318,2.766874
Spectrum00319,3.221785
Spectrum00320,2.633092
Spectrum00321,2.603846
Spectrum00322,2.990634
Spectrum00323,3.131418
Spectrum00324,2.957325
Spectrum00325,2.936589
Spectrum00326,2.804451
Spectrum00327,2.801285
Spectrum00328,2.855724
Spectrum00329,2.74509
Spectrum00330,2.924185
Spectrum00331,2.947517
Spectrum00332,2.979093
Spectrum00333,2.933926
Spectrum00334,2.964072
Spectrum00335,2.856035
Spectrum00336,3.072411
Spectrum00337,2.857263
Spectrum00338,2.969751
Spectrum00339,2.797246
Spectrum00340,2.831215
Spectrum00341,2.98311
Spectrum00342,2.987453
Spectrum00343,2.963976
Spectrum00344,3.106443
Spectrum00345,2.916556
Spectrum00346,2.928703
Spectrum00347,2.956121
Spectrum00348,2.795545
Spectrum00349,2.816291
Spectrum00350,3.033434
Spectrum00351,2.848164
Spectrum00352,2.687285
Spectrum00353,3.608289
Spectrum00354,1.951484
Spectrum00355,3.115937
Spectrum00356,2.75982
Spectrum00357,3.087749
Spectrum00358,2.931482
Spectrum00359,2.761943
Spectrum00360,2.727732
Spectrum00361,2.711265
Spectrum00362,2.839417
Spectrum00363,3.169582
Spectrum00364,2.948318
Spectrum00365,2.744339
Spectrum00366,2.86144
Spectrum00367,2.64221
Spectrum00368,2.966697
Spectrum00369,3.044909
Spectrum00370,3.018117
Spectrum00371,2.726062
Spectrum00372,2.790483
Spectrum00373,2.888825
Spectrum00374,2.842689
Spectrum00375,3.452259
Spectrum00376,2.771555
Spectrum00377,3.598822
Spectrum00378,2.724764
Spectrum00379,3.140924
Spectrum00380,2.824013
Spectrum00381,3.099786
Spectrum00382,2.615161
Spectrum00383,2.977054
Spectrum00384,2.974615
Spectrum00385,3.268629
Spectrum00386,3.006089
Spectrum00387,2.785013
Spectrum00388,2.940074
Spectrum00389,3.151519
Spectrum00390,3.545146
Spectrum00391,3.285212
Spectrum00392,3.735007
Spectrum00393,3.322452
Spectrum00394,3.745328
Spectrum00395,3.072519
Spectrum00396,3.126327
Spectrum00397,3.15708
Spectrum00398,3.194944
Spectrum00399,3.255506
Spectrum00400,2.943708
Spectrum00401,2.985414
Spectrum00402,3.447722
Spectrum00403,3.359335
Spectrum00404,3.398245
Spectrum00405,3.049513
Spectrum00406,3.267474
Spectrum00407,3.612181
Spectrum00408,3.672711
Spectrum00409,3.219783
Spectrum00410,3.599539
Spectrum00411,3.678748
Spectrum00412,3.541244
Spectrum00413,3.017489
Spectrum00414,2.972041
Spectrum00415,2.893913
Spectrum00416,2.891705
Spectrum00417,3.10176
Spectrum00418,2.895336
Spectrum00419,2.933447
Spectrum00420,3.091738
Spectrum00421,3.203787
Spectrum00422,3.075695
Spectrum00423,3.358927
Spectrum00424,3.025356
Spectrum00425,2.8917
Spectrum00426,3.380293
Spectrum00427,2.90093
Spectrum00428,3.158421
Spectrum00429,3.585144
Spectrum00430,3.022073
Spectrum00431,3.30603
Spectrum00432,3.301013
Spectrum00433,2.944451
Spectrum00434,2.892107
Spectrum00435,3.161525
Spectrum00436,2.852281
Spectrum00437,3.291413
Spectrum00438,3.091457
Spectrum00439,3.359143
Spectrum00440,3.150953
Spectrum00441,3.411311
Spectrum00442,3.099711
Spectrum00443,3.333619
Spectrum00444,3.646171
Spectrum00445,3.312866
Spectrum00446,3.471268
Spectrum00447,3.077727
Spectrum00448,3.506566
Spectrum00449,3.573068
Spectrum00450,3.508386
Spectrum00451,3.344484
Spectrum00452,3.12102
Spectrum00453,3.092851
Spectrum00454,2.78142
Spectrum00455,2.922302
Spectrum00456,2.970914
Spectrum00457,3.195866
Spectrum00458,2.625241
Spectrum00459,3.390932
Spectrum00460,3.150177
Spectrum00461,3.203557
Spectrum00462,3.073757
Spectrum00463,3.313481
Spectrum00464,3.192441
Spectrum00465,3.441751
Spectrum00466,3.091839
Spectrum00467,3.519278
Spectrum00468,3.203521
Spectrum00469,3.361943
Spectrum00470,3.234859
Spectrum00471,3.37866
Spectrum00472,3.321274
Spectrum00473,3.282188
Spectrum00474,3.334132
Spectrum00475,3.034375
Spectrum00476,2.938321
Spectrum00477,3.583215
Spectrum00478,3.541673
Spectrum00479,3.362222
Spectrum00480,3.275006
Spectrum00481,3.65656
Spectrum00482,3.3724
Spectrum00483,3.52412
Spectrum00484,3.630584
Spectrum00485,3.221266
Spectrum00486,3.256394
Spectrum00487,2.91934
Spectrum00488,3.24941
Spectrum00489,3.120312
Spectrum00490,3.103467
Spectrum00491,2.797825
Spectrum00492,2.858969
Spectrum00493,3.219026
Spectrum00494,3.048883
Spectrum00495,3.120237
Spectrum00496,2.023685
Spectrum00497,3.119134
Spectrum00498,2.930029
Spectrum00499,2.929662
Spectrum00500,3.145762
Spectrum00501,3.073573
Spectrum00502,3.390923
Spectrum00503,3.112637
Spectrum00504,4.179906
Spectrum00505,3.274302
Spectrum00506,3.452452
Spectrum00507,1.608347
Spectrum00508,3.364599
Spectrum00509,3.326079
Spectrum00510,3.234089
Spectrum00511,3.424045
Spectrum00512,3.20977
Spectrum00513,3.224873
Spectrum00514,3.116168
Spectrum00515,3.469565
Spectrum00516,3.149299
Spectrum00517,3.127919
Spectrum00518,3.009833
Spectrum00519,3.028291
Spectrum00520,3.470014
Spectrum00521,2.823664
Spectrum00522,3.042163
Spectrum00523,3.017143
Spectrum00524,3.259124
Spectrum00525,3.286512
Spectrum00526,3.220158
Spectrum00527,2.91887
Spectrum00528,3.114751
Spectrum00529,3.347024
Spectrum00530,3.445016
Spectrum00531,3.413565
Spectrum00532,3.283646
Spectrum00533,3.14837
Spectrum00534,3.146462
Spectrum00535,3.069253
Spectrum00536,2.843107
Spectrum00537,3.330516
Spectrum00538,2.79185
Spectrum00539,3.32527
Spectrum00540,3.045838
Spectrum00541,2.937608
Spectrum00542,3.090048
Spectrum00543,3.324942
Spectrum00544,2.99909
Spectrum00545,3.381029
Spectrum00546,2.686107
Spectrum00547,2.965478
Spectrum00548,3.150054
Spectrum00549,3.092764
Spectrum00550,3.266065
Spectrum00551,3.007731
Spectrum00552,3.441551
Spectrum00553,3.155932
Spectrum00554,3.254276
Spectrum00555,3.343259
Spectrum00556,1.913037
Spectrum00557,3.128664
Spectrum00558,3.295656
Spectrum00559,3.394542
Spectrum00560,3.046487
Spectrum00561,3.164906
Spectrum00562,3.182101
Spectrum00563,3.345021
Spectrum00564,3.413973
Spectrum00565,3.669458
Spectrum00566,3.214896
Spectrum00567,3.271152
Spectrum00568,3.34275
Spectrum00569,3.402532
Spectrum00570,3.267999
Spectrum00571,3.472629
Spectrum00572,3.465575
Spectrum00573,3.21814
Spectrum00574,3.3462
Spectrum00575,3.222253
Spectrum00576,3.017557
Spectrum00577,3.274741
Spectrum00578,3.211295
Spectrum00579,3.603215
Spectrum00580,3.185475
Spectrum00581,3.154243
Spectrum00582,3.080371
Spectrum00583,3.127075
Spectrum00584,3.013963
Spectrum00585,2.846609
Spectrum00586,3.281676
Spectrum00587,3.250246
Spectrum00588,3.108044
Spectrum00589,3.519729
Spectrum00590,3.480179
Spectrum00591,3.658763
Spectrum00592,2.983314
Spectrum00593,3.723892
Spectrum00594,2.902503
Spectrum00595,2.771533
Spectrum00596,3.502898
Spectrum00597,3.086571
Spectrum00598,3.239349
Spectrum00599,2.88391
Spectrum00600,3.295007
Spectrum00601,3.122502
Spectrum00602,3.049081
Spectrum00603,3.334361
Spectrum00604,3.097342
Spectrum00605,3.303208
Spectrum00606,3.2062
Spectrum00607,3.163832
Spectrum00608,3.051979
Spectrum00609,3.109452
Spectrum00610,3.062328
Spectrum00611,3.091336
Spectrum00612,3.349091
Spectrum00613,3.243645
Spectrum00614,3.116077
Spectrum00615,2.899796
Spectrum00616,3.092949
