"RT_ID","Plant_ID","Focal","Neighbour","Assoc","Treatment","Repetition","Sampling_ID","Leaf_nb_main_stem","Tiller_nb","Shoot_DW","Root_DW","Total_DW","Root_Shoot_Ratio","Comments"
69,"A","NOBILIS","EL4X_428","Mixt","WW",3,4,4,2,254,167.2,421.2,0.658267716535433,""
69,"B","EL4X_428","NOBILIS","Mixt","WW",3,4,6,4,457.4,142.7,600.1,0.311980760822038,""
69,"C","NOBILIS","EL4X_428","Mixt","WW",3,4,6,3,339.2,218.5,557.7,0.644162735849057,""
69,"D","EL4X_428","NOBILIS","Mixt","WW",3,4,7,5,426.9,190.8,617.7,0.446943078004216,""
69,"E","NOBILIS","EL4X_428","Mixt","WW",3,4,3,0,71.7,43.6,115.3,0.608089260808926,""
69,"F","EL4X_428","NOBILIS","Mixt","WW",3,4,6,4,422.2,169.7,591.9,0.401942207484604,""
70,"A","FURIO_CAMILLO","EL4X_428","Mixt","WW",3,4,5,3,431.8,270.7,702.5,0.62691060676239,""
70,"B","EL4X_428","FURIO_CAMILLO","Mixt","WW",3,4,5,3,354.8,191.5,546.3,0.539740698985344,""
70,"C","FURIO_CAMILLO","EL4X_428","Mixt","WW",3,4,6,4,414.1,208.4,622.5,0.503260082105772,""
70,"D","EL4X_428","FURIO_CAMILLO","Mixt","WW",3,4,4,1,107.5,47.1,154.6,0.438139534883721,""
70,"E","FURIO_CAMILLO","EL4X_428","Mixt","WW",3,4,5,3,398,176.3,574.3,0.442964824120603,""
70,"F","EL4X_428","FURIO_CAMILLO","Mixt","WW",3,4,5,3,407.4,186.9,594.3,0.458762886597938,""
71,"A","ARDENTE","ARDENTE","Monoc","WW",3,4,4,2,284.8,158.5,443.3,0.556530898876405,""
71,"B","ARDENTE","ARDENTE","Monoc","WW",3,4,5,2,349.7,156.3,506,0.446954532456391,""
71,"C","ARDENTE","ARDENTE","Monoc","WW",3,4,5,2,224.4,107.2,331.6,0.477718360071301,""
71,"D","ARDENTE","ARDENTE","Monoc","WW",3,4,4,1,180.3,77.6,257.9,0.430393788130893,""
71,"E","ARDENTE","ARDENTE","Monoc","WW",3,4,6,1,236.9,109.6,346.5,0.462642465175179,""
71,"F","ARDENTE","ARDENTE","Monoc","WW",3,4,5,1,195.5,89,284.5,0.455242966751918,""
72,"A","L2574","EL4X_316","Mixt","WW",3,4,5,3,376.5,229.8,606.3,0.610358565737052,""
72,"B","EL4X_316","L2574","Mixt","WW",3,4,5,2,430.8,166.8,597.6,0.387186629526462,""
72,"C","L2574","EL4X_316","Mixt","WW",3,4,5,2,329.8,143.9,473.7,0.43632504548211,""
72,"D","EL4X_316","L2574","Mixt","WW",3,4,6,2,377.4,135.8,513.2,0.359830418653948,""
72,"E","L2574","EL4X_316","Mixt","WW",3,4,7,5,448,234.8,682.8,0.524107142857143,""
72,"F","EL4X_316","L2574","Mixt","WW",3,4,5,2,339.2,99.2,438.4,0.292452830188679,""
73,"A","MONASTIR","BALSAMO","Mixt","WW",3,4,5,3,321.5,157.5,479,0.489891135303266,""
73,"B","BALSAMO","MONASTIR","Mixt","WW",3,4,6,3,423.3,183.8,607.1,0.434207417906922,""
73,"C","MONASTIR","BALSAMO","Mixt","WW",3,4,5,2,285.8,134,419.8,0.468859342197341,""
73,"D","BALSAMO","MONASTIR","Mixt","WW",3,4,7,4,439.4,182.2,621.6,0.414656349567592,""
73,"E","MONASTIR","BALSAMO","Mixt","WW",3,4,4,2,157.6,47.2,204.8,0.299492385786802,""
73,"F","BALSAMO","MONASTIR","Mixt","WW",3,4,7,3,384.7,154,538.7,0.400311931375097,""
74,"A","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,5,2,283.4,155.4,438.8,0.548341566690191,""
74,"B","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,5,2,312.3,111.5,423.8,0.357028498238873,""
74,"C","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,6,3,291.9,130.3,422.2,0.446385748544022,""
74,"D","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,4,1,238.5,101.9,340.4,0.427253668763103,""
74,"E","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,5,3,347.3,138.9,486.2,0.39994241289951,""
74,"F","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",3,4,5,3,360.6,131.7,492.3,0.36522462562396,""
75,"A","BALSAMO","AVENTUR","Mixt","WW",3,4,5,2,471.8,218.8,690.6,0.463755828740992,""
75,"B","AVENTUR","BALSAMO","Mixt","WW",3,4,6,3,177.6,73.6,251.2,0.414414414414414,""
75,"C","BALSAMO","AVENTUR","Mixt","WW",3,4,5,3,432.3,202.1,634.4,0.467499421697895,""
75,"D","AVENTUR","BALSAMO","Mixt","WW",3,4,5,2,255.7,111.4,367.1,0.435666797027767,""
75,"E","BALSAMO","AVENTUR","Mixt","WW",3,4,4,2,310.1,123.1,433.2,0.396968719767817,""
75,"F","AVENTUR","BALSAMO","Mixt","WW",3,4,4,2,241.5,105.7,347.2,0.43768115942029,""
79,"A","SVEVO","SVEVO","Monoc","WW",1,3,4,2,191,74.2,265.2,0.38848167539267,""
79,"B","SVEVO","SVEVO","Monoc","WW",1,3,5,3,428.9,166.9,595.8,0.389134996502681,""
79,"C","SVEVO","SVEVO","Monoc","WW",1,3,4,3,339.8,139.6,479.4,0.410829899941142,""
79,"D","SVEVO","SVEVO","Monoc","WW",1,3,4,3,363.5,163.4,526.9,0.449518569463549,""
79,"E","SVEVO","SVEVO","Monoc","WW",1,3,5,3,306,115.4,421.4,0.377124183006536,""
79,"F","SVEVO","SVEVO","Monoc","WW",1,3,4,3,298.2,133.2,431.4,0.446680080482897,""
80,"A","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,5,3,200.8,81.6,282.4,0.406374501992032,""
80,"B","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,4,2,298.5,142,440.5,0.47571189279732,""
80,"C","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,4,1,188.8,107.1,295.9,0.567266949152542,""
80,"D","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,4,1,231.3,112.3,343.6,0.485516645049719,""
80,"E","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,4,2,184.8,86.1,270.9,0.465909090909091,""
80,"F","FURIO_CAMILLO","FURIO_CAMILLO","Monoc","WW",1,3,4,2,190.9,89.8,280.7,0.470403352540597,""
81,"A","GIUSTO","GIUSTO","Monoc","WW",1,3,4,3,287.8,134.3,422.1,0.466643502432245,""
81,"B","GIUSTO","GIUSTO","Monoc","WW",1,3,4,2,246.3,119.5,365.8,0.485180673974827,""
81,"C","GIUSTO","GIUSTO","Monoc","WW",1,3,4,2,231.8,93.2,325,0.40207075064711,""
81,"D","GIUSTO","GIUSTO","Monoc","WW",1,3,4,2,267.9,117.5,385.4,0.43859649122807,""
81,"E","GIUSTO","GIUSTO","Monoc","WW",1,3,4,1,184.7,82.3,267,0.445587439090417,""
81,"F","GIUSTO","GIUSTO","Monoc","WW",1,3,4,2,240.8,114.1,354.9,0.473837209302326,""
82,"A","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,3,2,222.1,107.2,329.3,0.482665466006304,""
82,"B","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,6,2,325.8,122.2,448,0.375076734192756,""
82,"C","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,4,1,217.1,140.4,357.5,0.646706586826347,""
82,"D","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,5,2,270.9,122.5,393.4,0.452196382428941,""
82,"E","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,5,0,46.1,16.2,62.3,0.351409978308026,""
82,"F","MIKI-1_DP161","MIKI-1_DP161","Monoc","WW",1,3,5,1,221.3,112.2,333.5,0.507004066877542,""
83,"A","BALSAMO","AVENTUR","Mixt","WW",1,3,4,2,301.5,145.5,447,0.482587064676617,""
83,"B","AVENTUR","BALSAMO","Mixt","WW",1,3,4,2,323.1,149.9,473,0.463943051686784,""
83,"C","BALSAMO","AVENTUR","Mixt","WW",1,3,4,0,38.8,13.3,52.1,0.342783505154639,""
83,"D","AVENTUR","BALSAMO","Mixt","WW",1,3,NA,NA,NA,NA,NA,NA,""
83,"E","BALSAMO","AVENTUR","Mixt","WW",1,3,4,3,292.4,108.9,401.3,0.372435020519836,""
83,"F","AVENTUR","BALSAMO","Mixt","WW",1,3,4,2,335.3,183.1,518.4,0.546078138980018,""
84,"A","LAHAN","EL4X_120","Mixt","WW",1,3,4,2,421.6,186.3,607.9,0.441888045540797,""
84,"B","EL4X_120","LAHAN","Mixt","WW",1,3,4,2,273,109.7,382.7,0.401831501831502,""
84,"C","LAHAN","EL4X_120","Mixt","WW",1,3,4,2,249.2,112.9,362.1,0.453049759229534,""
84,"D","EL4X_120","LAHAN","Mixt","WW",1,3,4,2,338.9,185.6,524.5,0.547654175272942,""
84,"E","LAHAN","EL4X_120","Mixt","WW",1,3,5,3,462.5,179.1,641.6,0.387243243243243,""
84,"F","EL4X_120","LAHAN","Mixt","WW",1,3,5,2,266.1,161,427.1,0.605035700864337,""
85,"A","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,385.4,154.6,540,0.401141670991178,""
85,"B","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,372.1,171.4,543.5,0.460628863208815,""
85,"C","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,370.9,214.1,585,0.57724454030736,""
85,"D","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,332,152.4,484.4,0.459036144578313,""
85,"E","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,363.2,183.1,546.3,0.504129955947137,""
85,"F","COLOSSEO_DP087","COLOSSEO_DP087","Monoc","WW",1,3,5,3,358.9,149.8,508.7,0.417386458623572,""
86,"A","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,8,6,491,250.2,741.2,0.509572301425662,""
86,"B","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,7,5,602.2,232.2,834.4,0.385586183992029,""
86,"C","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,6,4,461.3,222.6,683.9,0.482549317147193,""
86,"D","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,6,4,500.8,133.5,634.3,0.266573482428115,""
86,"E","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,6,4,498.9,266.4,765.3,0.533974744437763,""
86,"F","Selcuklu-97","Selcuklu-97","Monoc","WW",1,3,5,3,427.5,153.6,581.1,0.359298245614035,""
87,"A","NOBILIS","NOBILIS","Monoc","WW",2,3,NA,NA,NA,6.5,NA,NA,""
87,"B","NOBILIS","NOBILIS","Monoc","WW",2,3,4,2,278.9,132.7,411.6,0.475797776980997,""
87,"C","NOBILIS","NOBILIS","Monoc","WW",2,3,3,1,124.1,56,180.1,0.451248992747784,""
87,"D","NOBILIS","NOBILIS","Monoc","WW",2,3,4,2,245.6,131.3,376.9,0.534609120521173,""
87,"E","NOBILIS","NOBILIS","Monoc","WW",2,3,5,3,156.2,53.1,209.3,0.339948783610755,""
87,"F","NOBILIS","NOBILIS","Monoc","WW",2,3,5,3,327.9,155,482.9,0.472705093016163,""
88,"A","LGBORIS","EL4X_35","Mixt","WW",2,3,5,3,398.1,203.3,601.4,0.510675709620698,""
88,"B","EL4X_35","LGBORIS","Mixt","WW",2,3,5,2,308.3,134.8,443.1,0.437236457995459,""
88,"C","LGBORIS","EL4X_35","Mixt","WW",2,3,5,3,330.5,171.9,502.4,0.520121028744327,""
88,"D","EL4X_35","LGBORIS","Mixt","WW",2,3,5,3,492.1,233,725.1,0.473480999796789,""
88,"E","LGBORIS","EL4X_35","Mixt","WW",2,3,6,4,419.2,197.3,616.5,0.470658396946565,""
88,"F","EL4X_35","LGBORIS","Mixt","WW",2,3,6,4,396.1,175.8,571.9,0.443827316334259,""
89,"A","NEMESIS","NEMESIS","Monoc","WW",2,3,4,2,325,171.7,496.7,0.528307692307692,""
89,"B","NEMESIS","NEMESIS","Monoc","WW",2,3,4,2,333.2,173,506.2,0.519207683073229,""
89,"C","NEMESIS","NEMESIS","Monoc","WW",2,3,4,3,203.8,104.9,308.7,0.514720314033366,""
89,"D","NEMESIS","NEMESIS","Monoc","WW",2,3,4,2,274.5,150.2,424.7,0.547176684881603,""
89,"E","NEMESIS","NEMESIS","Monoc","WW",2,3,4,1,158.5,68.9,227.4,0.434700315457413,""
89,"F","NEMESIS","NEMESIS","Monoc","WW",2,3,4,2,262.2,150.4,412.6,0.573607932875667,""
90,"A","FURIO_CAMILLO","PLUSSUR","Mixt","WW",2,3,6,4,357.2,164.3,521.5,0.45996640537514,""
90,"B","PLUSSUR","FURIO_CAMILLO","Mixt","WW",2,3,5,3,297.3,147.2,444.5,0.495122771611167,""
90,"C","FURIO_CAMILLO","PLUSSUR","Mixt","WW",2,3,6,2,337.2,145.8,483,0.432384341637011,""
90,"D","PLUSSUR","FURIO_CAMILLO","Mixt","WW",2,3,6,4,385.5,217.3,602.8,0.563683527885863,""
90,"E","FURIO_CAMILLO","PLUSSUR","Mixt","WW",2,3,6,4,350.4,166.2,516.6,0.474315068493151,""
90,"F","PLUSSUR","FURIO_CAMILLO","Mixt","WW",2,3,6,4,417.7,195.1,612.8,0.467081637538903,""
91,"A","Selcuklu-97","EL4X_194","Mixt","WW",2,3,7,4,464,227.1,691.1,0.489439655172414,""
91,"B","EL4X_194","Selcuklu-97","Mixt","WW",2,3,4,0,161,87.5,248.5,0.543478260869565,""
91,"C","Selcuklu-97","EL4X_194","Mixt","WW",2,3,7,5,574.2,260.2,834.4,0.453152211772901,""
91,"D","EL4X_194","Selcuklu-97","Mixt","WW",2,3,4,2,353.7,196,549.7,0.55414192818773,""
91,"E","Selcuklu-97","EL4X_194","Mixt","WW",2,3,7,5,542.6,267.1,809.7,0.492259491338002,""
