ABCDEF;BE_BoitEng_Hauteur_mm;BE_BoitEng_Hauteur_pixels;BE_BoitEng_Largeur_mm;BE_BoitEng_Largeur_pixels;BIOVOL_Volume_mm3;BIOVOL_Volume_pixels;CH_Surface_ConvexHull_mm2;CH_Surface_ConvexHull_pixels;SK_Squelette_Brut_mm;SK_Squelette_Brut_pixels;SPUR_Squelette_Corrige_Parametre_mm;SPUR_Squelette_Corrige_Parametre_pixels;SPUR_Squelette_Corrige_mm;SPUR_Squelette_Corrige_pixels;SURF3_Surface_Revolution_mm2;SURF3_Surface_Revolution_pixels;SURF_Surface_Projetee_mm2;SURF_Surface_Projetee_pixels;Segmentation;analysis_datetime;angle;coeff;coeff_x;coeff_y;datetime;dpi;expected_dpi;filepath;imgguid;overlapped_plants;plantid;plantname;presence;profil;stationid;studyid;studyname;subversion;taskid;version;view
A;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
B;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
C;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
D;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
E;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
F;482.88;12000.0;526.5626129999999;11637.0;;;251222.02766473015;137498270.0;59207.5869195;1385151.0;2.0175404;47.2;43795.416277;1024586.0;;;38729.48531328085;21197334.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-26-22;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00d29968-9d2f-4bdd-97dd-0930bc96f2d9;;585;PLAT012_U4L3R13_585_RHZ_5174_6 pl_MONASTIR_ACE_CHAM1DP136_BDF_WS_Rep2_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
A;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
B;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
C;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
D;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
E;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-35;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
F;482.88;12000.0;526.9698539999999;11646.0;;;251337.32997725988;137561377.0;66063.3772745;1545541.0;2.0175404;47.2;48518.8117605;1135089.0;;;45546.14005145085;24928210.0;totale;2020-06-29_09-32-36;;0.0427445;0.045249;0.04024;2019-07-15_18-58-21;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;00e6fdcd-675f-41f8-b32b-adf5fe0cddc7;;617;PLAT012_U4L2R19_617_RHZ_6081_6 pl_BALSAMO_ACE_BALSAMO_BDF_WS_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
A;482.88;12000.0;527.241348;11652.0;;;251114.69330163457;137439524.0;89390.3332595;2091271.0;2.0175404;47.2;59409.682915499994;1389879.0;;;54677.08853476863;29925740.0;totale;2020-06-29_09-32-36;;0.0427445;0.045249;0.04024;2019-07-15_16-31-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;0161a032-bee8-499f-8132-6377bf0ccee5;;281;PLAT012_U4L15R21_281_RHZ_5971_6 pl_L2574_ACE_L2574_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
B;482.88;12000.0;527.241348;11652.0;;;251114.69330163457;137439524.0;89390.3332595;2091271.0;2.0175404;47.2;59409.682915499994;1389879.0;;;54677.08853476863;29925740.0;totale;2020-06-29_09-32-36;;0.0427445;0.045249;0.04024;2019-07-15_16-31-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;0161a032-bee8-499f-8132-6377bf0ccee5;;281;PLAT012_U4L15R21_281_RHZ_5971_6 pl_L2574_ACE_L2574_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
C;482.88;12000.0;527.241348;11652.0;;;251114.69330163457;137439524.0;89390.3332595;2091271.0;2.0175404;47.2;59409.682915499994;1389879.0;;;54677.08853476863;29925740.0;totale;2020-06-29_09-32-36;;0.0427445;0.045249;0.04024;2019-07-15_16-31-23;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19353\ROOT_v2017\mask_4\csv;0161a032-bee8-499f-8132-6377bf0ccee5;;281;PLAT012_U4L15R21_281_RHZ_5971_6 pl_L2574_ACE_L2574_BDF_WW_Rep3_Rec_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19353;ROOT_v2017;rac
