ABCDEF;BE_BoitEng_Hauteur_mm;BE_BoitEng_Hauteur_pixels;BE_BoitEng_Largeur_mm;BE_BoitEng_Largeur_pixels;BIOVOL_Volume_mm3;BIOVOL_Volume_pixels;CH_Surface_ConvexHull_mm2;CH_Surface_ConvexHull_pixels;SK_Squelette_Brut_mm;SK_Squelette_Brut_pixels;SPUR_Squelette_Corrige_Parametre_mm;SPUR_Squelette_Corrige_Parametre_pixels;SPUR_Squelette_Corrige_mm;SPUR_Squelette_Corrige_pixels;SURF3_Surface_Revolution_mm2;SURF3_Surface_Revolution_pixels;SURF_Surface_Projetee_mm2;SURF_Surface_Projetee_pixels;Segmentation;analysis_datetime;angle;coeff;coeff_x;coeff_y;datetime;dpi;expected_dpi;filepath;imgguid;overlapped_plants;plantid;plantname;presence;profil;stationid;studyid;studyname;subversion;taskid;version;view
A;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-00;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
B;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-00;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
C;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-00;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
D;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
E;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
F;482.88;12000.0;526.5626129999999;11637.0;;;229425.77050351794;125568792.0;33464.241604999996;782890.0;2.0175404;47.2;22539.17485;527300.0;;;20606.293884192746;11278190.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_13-03-59;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;0000ae66-80aa-4b16-9bdc-5a232b741b51;;236;PLAT012_U4L16R2_236_RHZ_5703_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WW_Rep15_Clim_prel5;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
A;75.93288;1887.0;489.820425;10825.0;;;26689.548299793554;14607663.0;5084.330041499999;118947.0;2.0175404;47.2;3714.326072;86896.0;;;3136.7812602096838;1716816.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_17-09-40;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;00e4b034-2ed4-4a82-9d45-c4aa7070d6f6;;629;PLAT012_U4L1R5_629_RHZ_5815_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WS_Rep1_Calib04_prel4;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
B;75.2488;1870.0;526.5626129999999;11637.0;;;25440.558979568334;13924069.0;4217.770793;98674.0;2.0175404;47.2;3062.0877465;71637.0;;;2705.932802511651;1481005.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_17-09-40;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;00e4b034-2ed4-4a82-9d45-c4aa7070d6f6;;629;PLAT012_U4L1R5_629_RHZ_5815_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WS_Rep1_Calib04_prel4;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
C;81.48599999999999;2025.0;477.060207;10543.0;;;28428.048529558793;15559175.0;5325.067065499999;124579.0;2.0175404;47.2;3725.7388535;87163.0;;;3334.1364599531676;1824832.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_17-09-40;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;00e4b034-2ed4-4a82-9d45-c4aa7070d6f6;;629;PLAT012_U4L1R5_629_RHZ_5815_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WS_Rep1_Calib04_prel4;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
D;55.490959999999994;1379.0;525.069396;11604.0;;;18576.87854028926;10167455.0;2941.591001;68818.0;2.0175404;47.2;2033.7405655;47579.0;;;2108.7915409266648;1154179.0;totale;2020-06-29_09-21-01;;0.0427445;0.045249;0.04024;2019-07-07_17-09-40;594.2284972335622;600;\\DJS-4PMI-NAS01\Stockage_Mickael\Studies\2019_06_05_PLAT012_U4\19308\ROOT_v2017\mask_4\csv;00e4b034-2ed4-4a82-9d45-c4aa7070d6f6;;629;PLAT012_U4L1R5_629_RHZ_5815_6 pl_ANVERGUR_ACE_ANVERGUR_BDF_WS_Rep1_Calib04_prel4;present;rac_HT_600dpi;106;88;2019_06_05_PLAT012_U4;mask4;19308;ROOT_v2017;rac
